window,startHourIndex,endHourIndex,hours,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass
1,1,48,48,9233.34657055299,9233.34657055299,2108.43334439353,2210.48281385217,3881.71296082557,1939.75867684204,38548.1413724441,3623.32057312753,0,0,4238577.07198973,488217.744857788,-3750359.32713194,1,1
2,49,96,48,13708.307770193,13449.6999670185,4643.99625891223,2935.32043993536,4843.73511384878,4272.47655819925,51188.4311350362,4522.84064023838,258.60780317442,0,5702134.04775005,594699.262938616,-5107434.78481143,1,1
