timeUTC,windSpeedMean10mMS,windSpeedMin10mMS,windSpeedMax10mMS,seaTemperatureC,rigidComputeArrivalMWIT,flexComputeArrivalMWIT,computeBaseFacilityDemandMW,computeFlexibleFacilityMaxMW,computeFullLoadFacilityMW,baseLoadPUEProxy,fullLoadPUEProxy,electricityPriceCNYPerMWh,eventCode,nasaWind50mMS,nasaGhiWhPerM2,nasaAirTemperatureC,tidalSpeedProxyMS,waveHeightAssumptionM
2025-01-24 00:00:00,6.79857830219333,6.20187436737325,7.80523039251617,19.9027976989746,3.90379912659863,2.34227947595918,5.23731144361354,1.71646268911077,7.56502127105988,1.07837734222962,1.06850582924575,240,NORMAL,8.48,141.68,21.02,0.9,1.5
2025-01-24 01:00:00,7.0253685466379,6.38356603573061,7.93967455458983,19.9036217530568,3.69253965153087,2.21552379091853,5.08253248528171,1.62351449111949,7.56503342585759,1.07937404323833,1.06850754602508,240,NORMAL,8.23,294.02,21.09,1,1.5
2025-01-24 02:00:00,7.05586396410976,6.53285630767462,7.91329778173847,19.9044458071391,3.95844398059672,2.37506638835803,5.27736655893395,1.74051243450104,7.5650455806553,1.07813334894223,1.06850926280442,240,NORMAL,7.9,433.75,21.14,1.1,1.5
2025-01-24 03:00:00,6.79686521321644,6.39365801977897,7.68905013346218,19.9052698612213,3.88416239930942,2.33049743958565,5.22294862205865,1.70783093901332,7.56505773545301,1.07847237586526,1.06851097958376,240,NORMAL,7.25,567.95,21.14,1.2,1.5
2025-01-24 04:00:00,6.37533685871534,5.99764813242807,7.16058961944452,19.9060939153035,3.81667295697655,2.29000377418593,5.17350762403353,1.67813868580555,7.56506989025073,1.0787870036631,1.0685126963631,240,NORMAL,6.56,669.67,21.14,1.3,1.5
2025-01-24 05:00:00,6.05162258590298,5.78592876046357,6.64388109785691,19.9069179693858,3.93240332429805,2.35944199457883,5.258311574661,1.72906281168723,7.56508204504844,1.07825591704811,1.06851441314244,240,NORMAL,6.08,624.35,21.11,1.4,1.5
2025-01-24 06:00:00,5.81729006004328,5.56196631534528,6.30352728751244,19.907742023468,3.83834538427831,2.30300723056699,5.18940341422475,1.6876799134317,7.56509419984615,1.07868927381268,1.06851612992177,240,NORMAL,5.96,494.62,21.06,1.8,1.5
2025-01-24 07:00:00,5.55763078251571,5.32252350143082,5.93084603770397,19.9085660775503,4.20863830317521,2.52518298190513,5.46073206320236,1.8506209222675,7.56510635464387,1.07705752342126,1.06851784670111,360,NORMAL,6.25,364.65,21.02,1.9,1.5
2025-01-24 08:00:00,5.46665270906615,5.19061022273604,5.8400990224826,19.9093901316325,3.92814258727264,2.35688555236358,5.25521480675312,1.7271965462575,7.56511850944158,1.07828036408686,1.06851956348045,360,NORMAL,6.82,198.5,20.97,2,1.5
2025-01-24 09:00:00,5.50614170581979,5.1913850714488,5.88565115720196,19.9102141857147,3.9935179795369,1.59740719181476,5.30312465759441,1.17057864164134,7.56513066423929,1.07798861465797,1.06852128025979,360,NORMAL,7.23,48.1,20.91,2.1,1.5
2025-01-24 10:00:00,4.90632058557883,4.21190391593368,5.48790802961438,19.911038239797,4.0739043651894,1.62956174607576,5.36203405095465,1.19415947701362,7.56514281903701,1.07763700162427,1.06852299703913,360,NORMAL,7.5,0,20.85,2.2,1.5
2025-01-24 11:00:00,5.20975612933471,4.65832553458773,5.79634571631326,19.9118622938792,3.95302813671181,1.58121125468472,5.27347391389103,1.15870623019518,7.56515497383472,1.07817314684183,1.06852471381846,360,NORMAL,7.68,0,20.82,2.2,1.5
2025-01-24 12:00:00,5.63710126228641,5.23371472662425,6.18997286848907,19.9126863479614,3.94096693909457,1.57638677563783,5.26464487262864,1.15517043366576,7.56516712863243,1.07822922270316,1.0685264305978,360,NORMAL,7.65,0,20.79,0.35,1.5
2025-01-24 13:00:00,5.9054713986918,5.53344927986979,6.37985342992445,19.9135104020437,3.87707472239369,1.55082988895748,5.21783854604474,1.13643216673813,7.56517928343014,1.07852211356517,1.06852814737714,360,NORMAL,7.43,0,20.73,0.3,1.5
2025-01-24 14:00:00,5.95400259838067,5.61220261276193,6.37654117904699,19.9143344561259,3.85077864383845,1.54031145753538,5.19857944147579,1.12872125785166,7.56519143822786,1.07864526356795,1.06852986415648,360,NORMAL,7.09,0,20.66,0.4,1.5
2025-01-24 15:00:00,6.0907248931417,5.80302839409402,6.45664192756889,19.9151585102081,4.10686233386132,1.64274493354453,5.38622621008945,1.20383675446877,7.56520359302557,1.07750305968701,1.06853158093581,360,NORMAL,6.77,0,20.59,0.5,1.5
2025-01-24 16:00:00,6.33790210219245,5.99381377942823,6.62849286441044,19.9159825642904,3.94518913982133,1.57807565592853,5.26777209719518,1.15641644092684,7.56521574782328,1.07821703890093,1.06853329771515,360,NORMAL,6.54,0,20.54,1.1,1.5
2025-01-24 17:00:00,6.5764472644234,6.26283510462327,7.05858753886013,19.9168066183726,4.16015258058886,1.66406103223554,5.42529135048512,1.21947248589922,7.565227902621,1.07727885031695,1.06853501449449,620,NORMAL,6.38,0,20.51,1.2,1.5
2025-01-24 18:00:00,6.62817440236617,6.27092458640692,7.21663726725642,19.9176306724548,3.89619919182761,1.55847967673104,5.23189290846523,1.14205086801858,7.56524005741871,1.07844297009954,1.06853673127383,620,NORMAL,6.28,0,20.49,1.3,1.5
2025-01-24 19:00:00,6.9774715429068,6.60919211143193,7.53298888042145,19.9184547265371,3.95474743096332,1.58189897238533,5.27480086057749,1.15922572887704,7.56525221221642,1.07817914784785,1.06853844805317,620,NORMAL,6.23,0,20.46,1.4,1.5
2025-01-24 20:00:00,7.38836177201103,6.96022779193803,7.93681851308518,19.9192787806193,3.88125335045006,1.55250134018002,5.2209584467895,1.13767084365382,7.56526436701413,1.0785149208216,1.0685401648325,620,NORMAL,6.19,0,20.43,1.5,1.5
2025-01-24 21:00:00,7.68662007992979,7.23321671365138,8.18653186101206,19.9201028347015,4.15628455505061,1.66251382202025,5.42249164273492,1.21834584902211,7.56527652181185,1.07730212518922,1.06854188161184,620,NORMAL,6.37,0,20.38,1.5,1.5
2025-01-24 22:00:00,7.81572408146218,7.3033792557428,8.34533430080056,19.9209268887838,3.86737499259899,2.3204249955594,5.21080610293579,1.70049748184909,7.56528867660956,1.07858224775581,1.06854359839118,360,NORMAL,6.66,0,20.37,1.4,1.5
2025-01-24 23:00:00,8.07165336139684,7.5261250004732,8.55489490327834,19.921750942866,3.89525164582519,2.33715098749511,5.23124026172602,1.71276639266613,7.56530083140727,1.07845588897651,1.06854531517052,360,NORMAL,6.91,23.58,20.37,1.3,1.5
2025-01-25 00:00:00,8.08878991677892,7.62786646558101,8.48041544198873,19.9225749969482,3.83672369908483,2.3020342194509,5.18836383826424,1.68701617643006,7.56531298620499,1.07872772317184,1.06854703194986,240,NORMAL,7.11,167.25,20.41,0.3,1.5
2025-01-25 01:00:00,8.1688603376016,7.63727288365318,8.52394317906904,19.9133278528849,4.05083613112182,2.43050167867309,5.34515501685282,1.78119818715698,7.56517659083005,1.07774233174419,1.06852776706639,240,NORMAL,7.24,382.55,20.47,0.35,1.5
2025-01-25 02:00:00,8.08247758564916,7.42361143836436,8.46698243054442,19.9040807088216,4.05719423883944,2.43431654330367,5.34971815097918,1.78396314483508,7.56504019545512,1.07769528390627,1.06850850218293,240,NORMAL,7.3,569.22,20.51,0.4,1.5
2025-01-25 03:00:00,7.75572677763371,7.2047803847286,8.13651817141684,19.8948335647583,3.93300143473521,2.35980086084113,5.25862702900052,1.72928439889988,7.56490380008018,1.07822803430734,1.06848923729946,240,NORMAL,7.25,636.6,20.51,0.45,1.5
2025-01-25 04:00:00,7.27618263334077,6.79004423113714,7.69691007113457,19.885586420695,3.96897039174929,2.38138223504958,5.28488671283524,1.74507868742676,7.56476740470525,1.07804684662141,1.068469972416,240,NORMAL,7,665.65,20.49,0.5,1.5
2025-01-25 05:00:00,6.82025081035656,6.45737091443286,7.20183968947428,19.8763392766317,4.02114105246424,2.41268463147854,5.32301606433805,1.7680012751162,7.56463100933032,1.07779570460242,1.06845070753253,240,NORMAL,6.59,528.3,20.48,0.55,1.5
2025-01-25 06:00:00,6.41261016119315,6.06540536278705,6.77936982047531,19.8670921325684,4.05773212247058,2.43463927348235,5.34972971118195,1.78406849950611,7.56449461395538,1.07761587631168,1.06843144264907,240,NORMAL,6.23,495.52,20.46,0.45,1.5
2025-01-25 07:00:00,6.30702632337657,5.99250843389763,6.71205481630441,19.857844988505,3.88746061008364,2.33247636605018,5.2248865023815,1.70912083623417,7.56435821858045,1.07835844092578,1.0684121777656,360,NORMAL,6.01,314.38,20.43,0.5,1.5
2025-01-25 08:00:00,6.47153252008751,6.12638123580556,6.92498553902929,19.8485978444417,3.85422314392795,1.54168925757118,5.20044288545383,1.12958374784377,7.56422182320552,1.07849235226264,1.06839291288214,360,NORMAL,5.93,188.85,20.39,0.55,1.5
2025-01-25 09:00:00,6.6887564915732,6.2767891701558,7.12019993736312,19.8393507003784,3.93501395016091,1.57400558006436,5.25953767361686,1.15325601800977,7.56408542783058,1.07810334033336,1.06837364799867,360,NORMAL,6.07,58.88,20.35,0.6,1.5
