timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive
33,NORMAL,99.4747257814166,99.4747257814166,78.3447257814166,0,0,72.0771477189032,0,0,0,0,31347.7731788052,1989.49451562833,-29358.2786631768,1,1,baseline_E_asset_only,1,0,0,1
34,NORMAL,111.328,111.328,90.198,0,0,82.98216,0,0,0,0,35273.5776,2226.56,-33047.0176,1,1,baseline_E_asset_only,1,0,0,1
35,NORMAL,129.11085859082,129.11085859082,107.62085859082,0,0,99.0111899035544,0,0,0,0,41044.0283652796,2582.2171718164,-38461.8111934632,1,1,baseline_E_asset_only,1,0,0,1
36,NORMAL,139.385415331254,139.385415331254,117.895415331254,0,0,108.463782104754,0,0,0,0,44446.9615577113,2787.70830662508,-41659.2532510862,1,1,baseline_E_asset_only,1,0,0,1
37,NORMAL,139.082227758567,139.082227758567,117.592227758567,0,0,108.184849537881,0,0,0,0,44346.5458336372,2781.64455517133,-41564.9012784659,1,1,baseline_E_asset_only,1,0,0,1
38,NORMAL,137.803470774166,137.803470774166,116.313470774166,0,0,107.008393112233,0,0,0,0,43923.0215204039,2756.06941548333,-41166.9521049206,1,1,baseline_E_asset_only,1,0,0,1
39,NORMAL,123.966633421327,123.966633421327,102.476633421327,0,0,94.2785027476212,0,0,0,0,39340.2609891436,2479.33266842655,-36860.9283207171,1,1,baseline_E_asset_only,1,0,0,1
40,NORMAL,100.171470774166,100.171470774166,78.6814707741664,0,0,72.3869531122331,0,0,0,0,31459.3031204039,2003.42941548333,-29455.8737049206,1,1,baseline_E_asset_only,1,0,0,1
41,NORMAL,79.9974153312537,79.9974153312537,58.5074153312537,0,0,53.8268221047534,0,0,0,0,38772.6297049471,1599.94830662508,-37172.6813983221,1,1,baseline_E_asset_only,1,0,0,1
42,NORMAL,70.756,70.756,49.626,0,0,45.65592,0,0,0,0,33706.6704,1415.12,-32291.5504,1,1,baseline_E_asset_only,1,0,0,1
43,NORMAL,81.34,81.34,60.21,0,0,55.3932,0,0,0,0,39743.784,1626.8,-38116.984,1,1,baseline_E_asset_only,1,0,0,1
44,NORMAL,111.328,111.328,90.198,0,0,82.98216,0,0,0,0,56848.9392,2226.56,-54622.3792,1,1,baseline_E_asset_only,1,0,0,1
45,NORMAL,186.9448,186.9448,165.8148,0,0,152.549616,0,0,0,0,99980.76192,3738.896,-96241.86592,1,1,baseline_E_asset_only,1,0,0,1
46,NORMAL,364.5796,296.13,200,0,0,184,0,0,68.4495999999999,0,71640,5922.6,-90441.15,1,1,baseline_E_asset_only,1,0,0,1
47,NORMAL,576.31054904882,225.6235856531,200,0,0,184,0,0,350.68696339572,0,71640,4512.47171306201,-68608.8387974825,1,1,baseline_E_asset_only,1,0,0,1
0,NORMAL,327.969049616543,187.805789571184,0,100,0,0,0,0,140.163260045359,0,5400,109921.343931939,32704.3812756063,1,1,baseline_H_asset_only,0,1,0,1
1,NORMAL,314.917570879358,121.49,0,100,0,0,0,0,193.427570879358,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
2,NORMAL,291.840438733695,121.49,0,100,0,0,0,0,170.350438733695,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
3,NORMAL,232.456082987042,121.49,0,100,0,0,0,0,110.966082987042,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
4,NORMAL,189.034659350842,121.49,0,100,0,0,0,0,67.544659350842,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
5,NORMAL,158.383746939714,121.49,0,100,0,0,0,0,36.8937469397138,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
6,NORMAL,149.704634262795,121.49,0,100,0,0,0,0,28.2146342627945,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
7,NORMAL,158.133331487122,121.49,0,100,0,0,0,0,36.6433314871216,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
8,NORMAL,179.434951368027,121.49,0,100,0,0,0,0,57.9449513680273,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
9,NORMAL,204.820843804893,121.49,0,100,0,0,0,0,83.3308438048926,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
10,NORMAL,233.9947898688,121.49,0,100,0,0,0,0,112.5047898688,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
11,NORMAL,254.1043898688,121.49,0,100,0,0,0,0,132.6143898688,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
12,NORMAL,221.578,121.13,0,100,0,0,0,0,100.448,0,5400,8587.8281134402,-46768.1345428924,1,1,baseline_H_asset_only,0,1,0,1
13,NORMAL,196.9996,121.13,0,100,0,0,0,0,75.8695999999999,0,5400,8587.8281134402,-46768.1345428924,1,1,baseline_H_asset_only,0,1,0,1
14,NORMAL,159.0148,121.13,0,100,0,0,0,0,37.8848,0,5400,8587.8281134402,-46768.1345428924,1,1,baseline_H_asset_only,0,1,0,1
15,NORMAL,135.436,121.13,0,100,0,0,0,0,14.306,0,5400,8587.8281134402,-46768.1345428924,1,1,baseline_H_asset_only,0,1,0,1
16,NORMAL,124.074470669534,121.49,0,100,0,0,0,0,2.58447066953362,0,5400,8595.0281134402,-46760.9345428924,1,1,baseline_H_asset_only,0,1,0,1
17,NORMAL,115.865415331254,115.865415331254,0,100,0,0,0,0,0,0,5400,8651.27396012766,-44650.2351382524,1,1,baseline_H_asset_only,0,1,0,1
18,NORMAL,111.446227758567,111.446227758567,0,89.9562277585666,0,0,0,0,0,0,5400,7774.93119873277,-42563.5683473823,1,1,baseline_H_asset_only,0,1,0,1
19,NORMAL,110.167470774166,110.167470774166,0,88.6774707741665,0,0,0,0,0,0,5400,7670.51777393996,-42029.1664105829,1,1,baseline_H_asset_only,0,1,0,1
20,NORMAL,109.854633421327,109.854633421327,0,88.3646334213275,0,0,0,0,0,0,5400,7644.9738904566,-41898.429382907,1,1,baseline_H_asset_only,0,1,0,1
21,NORMAL,120.438633421327,120.438633421327,0,98.9486334213274,0,0,0,0,0,0,5400,8509.18163398311,-46321.5607269265,1,1,baseline_H_asset_only,0,1,0,1
22,NORMAL,135.451470774166,127.722226779774,0,100,0,0,0,0,7.72924399439222,0,5400,8719.67264903568,-48690.7435652494,1,1,baseline_H_asset_only,0,1,0,1
23,NORMAL,149.660359508325,121.49,0,100,0,0,0,0,28.1703595083252,0,5400,8595.0281134402,-46760.9345428923,1,1,baseline_H_asset_only,0,1,0,1
24,NORMAL,176.716251931771,121.13,0,100,0,0,0,0,55.5862519317706,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
25,NORMAL,211.253226442193,121.13,0,100,0,0,0,0,90.1232264421927,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
26,NORMAL,234.917611746144,121.13,0,100,0,0,0,0,113.787611746144,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
27,NORMAL,235.344559933185,121.13,0,100,0,0,0,0,114.214559933185,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
28,NORMAL,209.956409748643,121.13,0,100,0,0,0,0,88.826409748643,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
29,NORMAL,173.53876448071,121.13,0,100,0,0,0,0,52.4087644807095,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
30,NORMAL,149.387038948077,121.13,0,100,0,0,0,0,28.257038948077,0,5400,8587.8281134402,-46768.1345428923,1,1,baseline_H_asset_only,0,1,0,1
31,NORMAL,119.828151936921,119.828151936921,0,100,0,0,0,0,0,0,5400,8600.84659407099,-46279.598927642,1,1,baseline_H_asset_only,0,1,0,1
32,NORMAL,103.495924044676,103.495924044676,0,82.3659240446763,0,0,0,0,0,0,5400,7147.96558599071,-39398.724671311,1,1,baseline_H_asset_only,0,1,0,1
33,NORMAL,99.4747257814166,99.4747257814166,0,78.3447257814166,0,0,0,0,0,0,5400,6819.62557490186,-37718.2363796688,1,1,baseline_H_asset_only,0,1,0,1
34,NORMAL,111.328,111.328,0,90.198,0,0,0,0,0,0,5400,27787.4724537608,-22671.8067429981,1,1,baseline_H_asset_only,0,1,0,1
35,NORMAL,129.11085859082,122.93249092862,0,100,0,0,0,0,6.17836766220023,0,5400,8623.87793201259,-47207.6018589394,1,1,baseline_H_asset_only,0,1,0,1
36,NORMAL,139.385415331254,121.49,0,100,0,0,0,0,17.8954153312538,0,5400,8595.0281134402,-46760.9345428923,1,1,baseline_H_asset_only,0,1,0,1
37,NORMAL,139.082227758567,121.49,0,100,0,0,0,0,17.5922277585665,0,5400,8595.0281134402,-46760.9345428923,1,1,baseline_H_asset_only,0,1,0,1
38,NORMAL,137.803470774166,121.49,0,100,0,0,0,0,16.3134707741665,0,5400,8595.0281134402,-46760.9345428923,1,1,baseline_H_asset_only,0,1,0,1
39,NORMAL,123.966633421327,121.49,0,100,0,0,0,0,2.47663342132741,0,5400,8595.0281134402,-46760.9345428925,1,1,baseline_H_asset_only,0,1,0,1
40,NORMAL,100.171470774166,100.171470774166,0,100,0,0,0,0,0,0,5400,8808.21340569853,-38760.875943935,1,1,baseline_H_asset_only,0,1,0,1
41,NORMAL,79.9974153312537,79.9974153312537,0,58.5074153312538,0,0,2958,0,0,0,89288.88,11507.0639250748,-21929.7586289918,1,1,baseline_H_asset_only,0,1,0,1
42,NORMAL,70.756,70.756,0,40,0,0,0,0,0,0,5400,3881.21124537608,-24674.3847171569,1,1,baseline_H_asset_only,0,1,0,1
43,NORMAL,81.34,81.34,0,60,0,0,0,0,0,0,5400,25325.9368680641,-10116.8672257356,1,1,baseline_H_asset_only,0,1,0,1
44,NORMAL,111.328,111.328,0,80,0,0,2958,0,0,0,89288.88,33458.7424907522,-14076.6783343139,1,1,baseline_H_asset_only,0,1,0,1
45,NORMAL,186.9448,124.717639031395,0,100,0,0,0,0,62.2271609686054,0,5400,28659.5808940681,-27879.0469689638,1,1,baseline_H_asset_only,0,1,0,1
46,NORMAL,364.5796,121.13,0,100,0,0,2958,0,243.4496,0,89288.88,14887.8281134402,-39277.0145428925,1,1,baseline_H_asset_only,0,1,0,1
47,NORMAL,576.31054904882,121.13,0,100,0,0,0,0,455.18054904882,0,5400,8587.8281134402,-46768.1345428925,1,1,baseline_H_asset_only,0,1,0,1
0,NORMAL,327.969049616543,118.162067099407,0,0,25.1189661821088,0,0,28.4100252847013,209.806982517137,0,19605.0126423507,2363.24134198813,-39102.7713003625,1,1,baseline_C_asset_only,0,0,1,1
1,NORMAL,314.917570879358,50.3312811358108,0,0,23.7587486505291,0,0,26.9921174100288,264.586289743547,0,18896.0587050144,1006.62562271622,-17889.4330822982,1,1,baseline_C_asset_only,0,0,1,1
2,NORMAL,291.840438733695,52.238280234559,0,0,25.470913675625,0,0,28.7768026959885,239.602158499136,0,19788.4013479943,1044.76560469118,-18743.6357433031,1,1,baseline_C_asset_only,0,0,1,1
3,NORMAL,232.456082987042,51.7055965100584,0,0,24.9926478879998,0,0,28.2782274467867,180.750486476984,0,19539.1137233934,1034.11193020117,-18505.0017931922,1,1,baseline_C_asset_only,0,0,1,1
4,NORMAL,189.034659350842,51.2216347333831,0,0,24.5581271093495,0,0,27.8252517116369,137.813024617459,0,19312.6258558185,1024.43269466766,-18288.1931611508,1,1,baseline_C_asset_only,0,0,1,1
5,NORMAL,158.383746939714,52.0516697944741,0,0,25.3033582198131,0,0,28.6020192320982,106.33207714524,0,19701.0096160491,1041.03339588948,-18659.9762201596,1,1,baseline_C_asset_only,0,0,1,1
6,NORMAL,149.704634262795,51.3771582449326,0,0,24.6977548307078,0,0,27.9707132236934,98.3274760178619,0,19385.3566118467,1027.54316489865,-18357.813446948,1,1,baseline_C_asset_only,0,0,1,1
7,NORMAL,158.133331487122,54.032989462239,0,0,27.0822573990366,0,0,30.4561964619595,104.100342024883,0,20628.0982309798,1080.65978924478,-19547.438441735,1,1,baseline_C_asset_only,0,0,1,1
