strategyId,strategyClass,horizonH,productMixEnabled,targetElectricityShare,targetHydrogenShare,targetComputeShare,activeRatioHours,maxHourlyShareDeviation,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,realizedElectricityInputShare,realizedHydrogenInputShare,realizedComputeInputShare,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,auditPass,allHoursOptimal,informationBoundary,parameterStatus,comparisonSet
mix_E80_C20,FIXED_HOURLY_EHC_POLICY,48,1,0.8,0,0.2,48,0.0200000000000002,8450.79867685041,6359.64906907202,4102.58425561075,0,905.872186093639,0.81913146362807,0,0.18086853637193,3774.37751516189,0,1084.67525328406,2091.14960777839,0,2135427.50021878,129380.633703307,-2027907.86651547,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E60_C40,FIXED_HOURLY_EHC_POLICY,48,1,0.6,0,0.4,48,0.0200000000000001,8450.79867685041,3906.01883086058,1588.80750579596,0,973.785245487847,0.62,0,0.38,1461.70290533228,0,1148.24327462365,4544.77984598983,0,1362127.84074986,78151.3183602315,-1305837.52238963,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E40_C60,FIXED_HOURLY_EHC_POLICY,48,1,0.4,0,0.6,48,0.0200000000000001,8450.79867685041,3022.25473344474,705.154832939475,0,973.785245487847,0.42,0,0.58,648.742446304317,0,1148.24327462365,5428.54394340566,0,1068019.82993894,60445.0946688949,-1029435.73527004,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E20_C80,FIXED_HOURLY_EHC_POLICY,48,1,0.2,0,0.8,48,0.0200000000000004,8450.79867685041,2591.75727753524,274.657376932469,0,973.785245487847,0.219999999999999,0,0.78,252.684786777871,0,1148.24327462365,5859.04139931517,0,924736.440056694,51835.1455777798,-894762.294478915,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_H80_C20,FIXED_HOURLY_EHC_POLICY,48,1,0,0.8,0.2,48,0.0200000000000003,8450.79867685041,6181.30250830505,0,3919.35607484265,913.240887314249,0,0.811024818650168,0.188975181349832,0,0,1091.57206344817,2269.49616854536,0,804986.031724086,626760.301756738,-2158038.78708444,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_H60_C40,FIXED_HOURLY_EHC_POLICY,48,1,0,0.6,0.4,48,0.0200000000000001,8450.79867685041,3906.01883086058,0,1588.80750579596,973.785245487847,0,0.62,0.38,0,0,1148.24327462365,4544.77984598983,0,833321.637311824,316104.925376012,-1332781.79621225,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_H40_C60,FIXED_HOURLY_EHC_POLICY,48,1,0,0.4,0.6,48,0.0200000000000003,8450.79867685041,3022.25473354224,0,705.154832939475,973.785245487847,0,0.42,0.58,0,0,1148.24327462365,5428.54394330816,0,833321.637311823,123919.498701587,-1083530.02362281,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_H20_C80,FIXED_HOURLY_EHC_POLICY,48,1,0,0.2,0.8,48,0.0200000000000002,8450.79867685041,2591.75727753524,0,274.657376932469,973.785245487847,0,0.219999999999999,0.78,0,0,1148.24327462365,5859.04139931517,0,833321.637311824,88768.3993960578,-903621.974569012,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E60_H20_C20,FIXED_HOURLY_EHC_POLICY,48,1,0.6,0.2,0.2,48,0.0200000000000001,8450.79867685041,6371.20694291946,3111.26794239103,999.880540791237,907.711776523465,0.619915236008872,0.199224622534094,0.180860141457034,2862.36650699975,0,1086.39709091681,2079.59173393095,0,1810691.11846386,311577.179813042,-2020474.88821642,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E50_H30_C20,FIXED_HOURLY_EHC_POLICY,48,1,0.5,0.3,0.2,48,0.0200000000000001,8450.79867685041,6360.5617743429,2608.48569291598,1503.42784824591,904.405099061149,0.52,0.299707406182448,0.180292593817552,2399.80683748271,0,1083.30340375622,2090.23690250751,0,1650857.83453211,400158.823356802,-2023611.86560994,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E40_H30_C30,FIXED_HOURLY_EHC_POLICY,48,1,0.4,0.3,0.3,48,0.0200000000000001,8450.79867685041,4794.82449695709,1449.63413361466,1035.4529525819,966.422755743107,0.42,0.3,0.28,1333.66340292549,0,1141.3508498398,3655.97417989332,0,1309736.62056475,279734.526473168,-1569133.58440729,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E30_H30_C40,FIXED_HOURLY_EHC_POLICY,48,1,0.3,0.3,0.4,48,0.0200000000000001,8450.79867685041,3904.87601486723,819.609640044881,768.558403062002,973.393316742928,0.319964867089085,0.300035132910915,0.38,754.04086884129,0,1147.87636894303,4545.92266198317,0,1105857.29681414,225480.899031131,-1286178.14660877,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E20_H40_C40,FIXED_HOURLY_EHC_POLICY,48,1,0.2,0.4,0.4,48,0.0200000000000001,8450.79867685041,3904.87601486723,563.543499166958,1024.23261519501,973.785245487847,0.22,0.399846996152011,0.38015300384799,518.460019233601,0,1148.24327462365,4545.92266198317,0,1020833.12096092,261243.797436371,-1293115.58628535,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E20_H60_C20,FIXED_HOURLY_EHC_POLICY,48,1,0.2,0.6,0.2,48,0.0200000000000007,8450.79867685041,6351.03891175388,1100.42308060245,2985.82010081494,921.481075319074,0.219745142540974,0.596242913494762,0.184011943964264,1012.38923415425,0,1099.28456332008,2099.75976509652,0,1166959.07291753,511103.398507269,-2169311.84895864,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
mix_E20_H20_C60,FIXED_HOURLY_EHC_POLICY,48,1,0.2,0.2,0.6,48,0.0200000000000004,8450.79867685041,3022.25473344474,369.36681725401,335.788015685465,973.785245487847,0.22,0.2,0.58,339.817471873689,0,1148.24327462365,5428.54394340566,0,956258.785830788,101147.191813498,-1044718.72973756,1,1,CAUSAL_1H_CURRENT_OBSERVATION_PLUS_PREVIOUS_TERMINAL_STATE,[假设值，待企业调研校准],BASELINES_PLUS_22_FIXED_HOURLY_POLICIES
