export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,15.946086008125,24000,1000,7.08,120
0,18,14.981919995,24000,1000,7.08,120
0,18,14.981919995,24000,1000,7.08,120
0,18,13.9829061109703,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,15.6524652974216,24000,1000,7.08,120
0,18,17.6277881788627,24000,1000,7.08,120
0,18,11.893919995,24000,1000,7.08,120
0,18,12.7073122023828,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,18,24000,1000,7.08,120
0,18,13.8918638635566,24000,1000,7.08,120
0,18,6.6277070015553,24000,1000,7.08,120
0,18,15.2018830119904,24000,1000,7.08,120
0,18,14.401165149108,24000,1000,7.08,120
