strategyId,phase,startH,endH,eAvailableMWh,eCableSendMWh,eElectrolyzerInputMWh,eFlexibleComputeInputMWh,eBaseComputeServedMWh,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh
mix_E20_H80,P3_COMPUTE_START,12,18,1394.7460423458,0,0,0,120,1145.8060423458,0,0,0
mix_E20_H80,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,0,120,1769.31573983665,0,0,0
mix_E20_H80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,600,0,120,1680.7622336105,0,0,0
mix_E20_H80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,441.647187075046,600,0,120,2915.25752463202,71.6926532523874,0,0
mix_E20_H80,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_E20_H80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,320,0,160,608.269151887982,100,0,0
mix_E80_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0,0,15.312141343284,0
mix_E80_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,0,40.9060042265202,19.9353157862095,0
mix_E80_C20,P3_COMPUTE_START,12,18,1394.7460423458,1164.55826272137,0,66.65312,120,6.49962001457328,0.0152512948000954,91.920211684941,0
mix_E80_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1200,0,467.864825011452,120,101.464679118757,0,0.0137642935570511,0
mix_E80_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1200,0,594.2712,120,486.491033610505,0,0,0
mix_E80_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1200,0,489.809364132898,120,2206.15642187919,132.631578947368,0,0
mix_E80_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,45.8400269024362,0,0,80,0,0,119.7,0
mix_E80_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,928.269151887982,0,0,160,0,100,0,0
mix_E60_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0,0,15.312141343284,0
mix_E60_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9212966009785,0,19.9506081606678,0
mix_E60_C40,P3_COMPUTE_START,12,18,1394.7460423458,390.581096525028,0,600,120,155.224945820776,0,0,0
mix_E60_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,1200,0,600,120,10.7213213819498,0,41.405581545297,0
mix_E60_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1200,0,600,120,480.762233610505,0,0,0
mix_E60_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1200,0,600,120,2111.01472667774,117.582638281716,0,0
mix_E60_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,45.8400269024362,80,0,0,119.7,0
mix_E60_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,0,160,928.269151887982,100,0,0
mix_E40_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0,0,15.312141343284,0
mix_E40_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9174972141585,0,19.9468087738478,0
mix_E40_C60,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_E40_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,367.649632267017,0,600,120,801.666107569636,0,0,0
mix_E40_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,600,0,600,120,1080.7622336105,0,0,0
mix_E40_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,803.475904455437,0,600,120,2553.4217927842,71.6996677198136,0,0
mix_E40_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,45.8400269024362,80,0,0,119.7,0
mix_E40_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,0,160,928.269151887982,100,0,0
mix_E20_C80,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0,0,15.312141343284,0
mix_E20_C80,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9153992646689,0,19.9447108243582,0
mix_E20_C80,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_E20_C80,P4_CABLE_SATURATION,18,24,2016.09573983665,89.8523152801743,0,600,120,1079.46342455648,0,0,0
mix_E20_C80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,0,600,120,1680.7622336105,0,0,0
mix_E20_C80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,600,0,600,120,2756.90002183741,71.6973431220412,0,0
mix_E20_C80,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,45.8400269024362,80,0,0,119.7,0
mix_E20_C80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,0,0,160,928.269151887982,100,0,0
mix_H80_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0.00542668752677145,0,15.3175680308107,0
mix_H80_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_H80_C20,P3_COMPUTE_START,12,18,1394.7460423458,0,0,17.12544,120,1128.6806023458,0,0,0
mix_H80_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,291.37632,120,1477.93941983665,0,0,0
mix_H80_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,600,18.874227075046,120,1661.88800653546,0,0,0
mix_H80_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,600,114.2712,120,3242.63321890181,71.6929460576402,0,0
mix_H80_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_H80_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,320,0,160,608.269151887982,100,0,0
mix_H60_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,-7.105427357601e-15,0,15.312141343284,0
mix_H60_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_H60_C40,P3_COMPUTE_START,12,18,1394.7460423458,0,0,297.10512,120,848.708552808569,0,0.00763046276497334,0
mix_H60_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,561.644370282009,120,1207.67136955464,0,0,0
mix_H60_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,600,297.10512,120,1383.6571136105,0,0,0
mix_H60_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,600,297.10512,120,3059.79685704559,71.6953879138598,0,0
mix_H60_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_H60_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,760.628172058434,0,160,167.640979829549,100,0,0
mix_H40_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,-7.105427357601e-15,0,15.312141343284,0
mix_H40_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_H40_C60,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_H40_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,600,120,1169.31573983665,0,0,0
mix_H40_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,600,600,120,1080.7622336105,0,0,0
mix_H40_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,600,600,120,2772.23104319191,56.3663217675374,0,0
mix_H40_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,32,0.01317516814519,80,0,0,105.873148265709,0
mix_H40_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,238.975817038541,0,160,689.293334849441,100,0,0
mix_H20_C80,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,-7.105427357601e-15,0,15.312141343284,0
mix_H20_C80,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9155043078467,0,19.944815867536,0
mix_H20_C80,P3_COMPUTE_START,12,18,1394.7460423458,0,0,600,120,545.806042345804,0,0,0
mix_H20_C80,P4_CABLE_SATURATION,18,24,2016.09573983665,0,0,600,120,1169.31573983665,0,0,0
mix_H20_C80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,0,347.666315280174,600,120,1333.09591833033,0,0,0
mix_H20_C80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,0,342.186,600,120,3014.71390544607,71.6974595133819,0,0
mix_H20_C80,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,0,45.8400269024362,80,0,0,119.7,0
mix_H20_C80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,1.51388904490272e-13,0,160,928.269151887982,99.9999999999999,0,0
mix_E60_H20_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,7.105427357601e-15,0,15.312141343284,0
mix_E60_H20_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,0,40.9060042265202,19.9353157862095,0
mix_E60_H20_C20,P3_COMPUTE_START,12,18,1394.7460423458,981.367921607775,0,254.623807348782,120,0,0,90.1856866107529,0
mix_E60_H20_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1200,0,560.328943528891,120,0,10.7213213819497,1.73452507418803,0
mix_E60_H20_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1200,600,490.438226157715,120,0,0,9.6759925472098,0
mix_E60_H20_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1200,600,600,120,1495.96397903478,132.650112047931,0.0167261232574482,0
mix_E60_H20_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,6.88377296439142,38.9562539380448,0,80,0,0,119.7,0
mix_E60_H20_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,608.269151887982,320,0,160,0,100,0,0
mix_E50_H30_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0.0148960146981665,0,15.3270373579822,0
mix_E50_H30_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,0,19.9353157862095,0
mix_E50_H30_C20,P3_COMPUTE_START,12,18,1394.7460423458,0,0,305.70848,120,840.097562345804,0,0,0
mix_E50_H30_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1184.91859492581,0,482.74706718496,120,101.650077725881,0,0,0
mix_E50_H30_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1200,600,290.929740570009,120,189.832493040496,0,0,0
mix_E50_H30_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1198.06033179003,600,497.12544,120,1661.70815478251,71.7034383869159,0,0
mix_E50_H30_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_E50_H30_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,760.628172058434,0,160,167.640979829549,100,0,0
mix_E40_H30_C30,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,0,0,0,15.312141343284,0
mix_E40_H30_C30,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9213290117889,0,19.9506405714782,0
mix_E40_H30_C30,P3_COMPUTE_START,12,18,1394.7460423458,0,0,585.734848250955,120,560.071194094849,0,0,0
mix_E40_H30_C30,P4_CABLE_SATURATION,18,24,2016.09573983665,880.746029541112,0,577.0848,120,311.484910295541,0,0,0
mix_E40_H30_C30,P5_ELECTROLYSIS_START,24,30,2529.7022336105,785.637111831559,600,564.659664847182,120,330.465456931764,0,0,0
mix_E40_H30_C30,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1200,600,565.6272,120,1591.26625148049,71.7039134789609,0,0
mix_E40_H30_C30,P7_RENEWABLE_DROP,36,40,90.6600269024362,0,45.8400269024362,0,80,0,0,119.7,0
mix_E40_H30_C30,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0,760.628172058434,0,160,167.640979829549,100,0,0
