strategyId,eventName,rowIndex,timeH,pSourceAvailableMW,sourceRampMWPerH,pBessChargeMW,pBessDischargeMW,bessSOC,pCableSendMW,pElectrolyzerMW,pComputeFacilityMW,pCurtailmentMW,dynamicValidationStatus,requiredOutputs,formulaStatus
mix_C100,MAX_BESS_DISCHARGE,39,38,23.8540625140745,4.1575883956911,0,58.2205774859255,0.247376212123054,0,0,60.94464,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_BESS_CHARGE,47,46,212.363406121039,9.33374108427569,75,0,0.7,0,0,20,95.8734061210385,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MIN_BESS_SOC,40,39,22.5330557572957,-1.32100675677876,0,21.4511842427043,0.10625,0,0,22.85424,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,-0,0.468055831079737,0,0,120,509.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,16.5535654873175,0.784844963899227,0,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_CABLE_SEND,1,0,20.6135498942343,0,0,0.516450105765698,0.696602301935752,0,0,0,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_ELECTROLYZER_LOAD,1,0,20.6135498942343,0,0,0.516450105765698,0.696602301935752,0,0,0,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,0.00805654638645592,0.468055831079737,0,0,120,30.2181786449405,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_C100,MAX_CURTAILMENT,35,34,759.355001656074,30.4024092373687,0,-0,0.468055831079737,0,0,120,617.865001656074,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_BESS_DISCHARGE,40,39,22.5330557572957,-1.32100675677876,0,64.4369711451404,0.10625,45.8400269024362,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_BESS_CHARGE,33,32,696.377026788193,26.5195538894463,75,0,0.5515625,200,100,20,279.887026788193,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MIN_BESS_SOC,14,13,202.558440856409,30.8583187578548,0,38.9315591435912,0.10625,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_SOURCE_RAMP_UP,31,30,651.122288275817,212.540241130385,0,0,0.10625,200,100,20,309.632288275817,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_SOURCE_RAMP_DOWN,37,36,24.5764345126825,-747.296548409235,0,16.5535654873175,0.784844963899227,-0,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_CABLE_SEND,14,13,202.558440856409,30.8583187578548,0,38.9315591435912,0.10625,200,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_ELECTROLYZER_LOAD,26,25,407.676280732512,18.0701401625028,0,0,0.10625,200,100,20,66.1862807325118,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
mix_E80_H20,MAX_COMPUTE_LOAD,13,12,171.700122098554,109.702647452263,0,52.9886525413499,0.362378678576258,183.198774639904,0,20,0,NOT_RUN_REQUIRES_REGFM_OR_EMT_GATE,frequency_nadir;RoCoF;voltage_deviation;current_limit;recovery_time,[需查证文献支撑]
