export_actual_mw,cable_receive_mw,cable_loss_mw,marine_actual_mw,marine_unserved_mw,h2_withdrawn_kg,h2_delivered_kg,compute_delivered_mwh_cs,h2_pipe_withdrawn_kg,h2_ship_withdrawn_kg,h2_pipe_delivered_kg,h2_ship_delivered_kg,marine_below_rigid,marine_violation_count
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
161.576014398214,148.64993324635688,12.926081151857119,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
199.86204100366,183.87307772336723,15.98896328029278,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
4.02476920413619e-06,3.7027876678052947e-06,3.219815363308951e-07,18.0,0.0,0.0,0.0,20.8545987943866,0.0,0.0,0.0,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
0.0,0.0,0.0,12.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
15.3019430348505,14.077787592062462,1.2241554427880388,18.0,0.0,1751.7042107115,1734.187168604385,110.720470206324,1751.7042107115,0.0,1734.187168604385,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
20.3744563457954,18.74449983813177,1.629956507663632,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
55.4657441077847,51.028484579161926,4.437259528622775,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1743.8788092302282,110.720470206324,1761.4937466972,0.0,1743.8788092302282,0.0,0,0
