dc_power_mw,it_power_mw,dc_aux_power_mw,compute_served_mwh_cs,compute_queue_mwh_cs,rigid_unserved_mwh_cs,flex_overdue_mwh_cs,spot_dropped_mwh_cs,dc_online_min_mw,dc_online,compute_model_mode,pue,compute_gross_revenue_yuan,compute_sla_penalty_yuan,compute_variable_om_yuan,compute_electricity_transfer_yuan
0.0,0.0,0.0,0.0,2.4000000000000004,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
7.618080005,7.08,0.5380800050000003,7.079999999999999,1.7199999744808179,2.5519182766942095e-08,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.509751882455,0.0020015045307405564,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,1.0399999744808182,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,0.35999997448081844,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
5.564162402427758,5.132171634608877,0.43199076781888124,4.297388049441253,2.4626119250395657,0.0,0.0,8.0,2.3937024865000005,1,sla,1.084173094466628,24941.954891150937,0.0,0.0,2233.120938590356
0.0,0.0,0.0,0.0,4.862611925039566,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
3.4655974337452533,3.141227365571844,0.3243700681734092,1.4531819508169201,7.262611925039566,2.54681804918308,0.0,8.0,2.3937024865000005,1,sla,1.103262206272789,8639.309166425299,199750.4352300455,0.0,1390.8828740593199
0.0,0.0,0.0,0.0,9.662611925039567,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
0.0,0.0,0.0,0.0,11.262611925039566,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
7.618080005,7.08,0.5380800050000003,7.079999999999999,9.782611925039566,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,8.302611925039566,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,6.822611925039565,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,5.342611925039565,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
5.270541072915756,4.853655220042922,0.4168858528728334,3.8995074572041757,6.942611925039565,0.10049254279582431,0.0,8.0,2.3937024865000005,1,sla,1.0858911138045662,23182.954137731496,7881.768062417594,0.0,2115.278954204009
7.245865975561344,6.727067227164785,0.5187987483965593,6.575810324521121,5.966801600518444,0.0,0.0,8.0,2.3937024865000005,1,sla,1.077121088711821,33841.20424793348,0.0,0.0,2908.05585063179
0.0,0.0,0.0,0.0,7.566801600518444,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
0.0,0.0,0.0,0.0,9.166801600518443,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
0.0,0.0,0.0,0.0,10.766801600518443,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
7.618080005,7.08,0.5380800050000003,7.079999999999999,9.286801600518443,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
7.618080005,7.08,0.5380800050000003,7.079999999999999,7.806801600518442,0.0,0.0,8.0,2.3937024865000005,1,sla,1.0760000007062147,35810.50980392157,0.0,0.0,3057.4402292066998
0.0,0.0,0.0,0.0,9.406801600518442,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
0.0,0.0,0.0,0.0,11.006801600518441,4.0,0.0,8.0,2.3937024865000005,0,sla,,0.0,313725.49019607843,0.0,0.0
4.699430348825533,4.311880530775219,0.3875498180503145,3.125543615393171,13.406801600518442,0.874456384606829,0.0,8.0,2.3937024865000005,1,sla,1.0898795352246549,18581.66321935705,68584.81447896698,0.0,1886.0693761976395
4.019241693426521,3.6665551767019733,0.3526865167245474,2.203650252431391,15.806801600518442,1.796349747568609,0.0,8.0,2.3937024865000005,1,sla,1.0961901566259218,13100.916794847017,512814.91982150136,0.0,1613.0824612397996
