export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,15.776166008125,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,17.9394203616598,30000,1000,7.08,120
0,18,15.4825452974216,30000,1000,7.08,120
0,18,17.4578681788627,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,18,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
0,18,15.0319630119904,30000,1000,7.08,120
0,18,14.811999995,30000,1000,7.08,120
