assetName,capexCNY,constructionFinancingCNY,financedCapexCNY,fixedOMAnnualCNY,depreciationLifeYear,annualDepreciationCNY,annualFinancingCNY,replacementPVCNY,annualReplacementRecoveryCNY,replacementSchedule,sourceCategory,sourceUrl,dataStatus
floatingWind,680000000,84718444.8700581,764718444.870058,24944997.6,25,30588737.7948023,41049152.4391445,0,0,none within analysis life,政府官网＋美国国家实验室官方报告,https://www.nea.gov.cn/20260522/7cf96e984e124058922e2513523e8581/c.html ; https://www.nrel.gov/docs/fy25osti/91775.pdf,政府官网公开目标代理
marineFloatingPV,32064376,3994770.69183649,36059146.6918365,597810.4,25,1442365.86767346,1935610.9680736,0,0,none within analysis life,国际合作组织技术报告＋美国国家实验室官方基准,https://iea-pvps.org/key-topics/t13-floating-pv-plants-review-2025/ ; https://atb.nrel.gov/electricity/2024/utility-scale_pv,国际合作组织数据库中位值代理
tidalStream,108692800,13541595.5655474,122234395.565547,3260784,20,6111719.77827737,5339049.15645842,18416410.6398546,1725226.86326126,Y10/Y20: 25% major overhaul [假设值],欧盟政府报告＋假设值,https://op.europa.eu/webpub/mare/eu-blue-economy-report-2025/blue-economic-sectors/marine-renewable-energy.html,[假设值，待企业调研校准]
BESS,113991574,14201748.3493679,128193322.349368,2849789.35,15,8546221.48995786,3462772.4303463,63352452.6011,5934780.40961873,Y10/Y20: NREL replacement-cost proxy,美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87646.pdf,美国国家实验室公开成本代理
PEMElectrolyzer,716693150,89289895.7603284,805983045.760328,21500794.5,20,40299152.2880164,35204355.3753977,194293132.250467,18201143.4074063,Y10/Y20: 40% stack [假设值],美国国家实验室官方技术报告,https://www.nrel.gov/docs/fy24osti/87625.pdf,美国国家实验室公开制造价格代理
hydrogenStorage,571289356.8,71174626.2925173,642463983.092517,5712893.568,25,25698559.3237007,34486682.1972706,0,0,none within analysis life,美国能源部/国家实验室官方技术报告,https://www.hydrogen.energy.gov/docs/hydrogenprogramlibraries/pdfs/progress19/ins_sa173_hunter_2019.pdf,美国国家实验室陆上储氢代理
subseaCompute,4089566600,509502533.153722,4599069133.15372,163582664,25,183962765.326149,246872415.843285,3422081029.98207,320576372.705622,Y5/Y10/Y15/Y20: 50% IT [假设值],企业官方网站技术白皮书,https://blog.se.com/datacenter/architecture/2020/02/24/liquid-vs-air-cooling-which-is-the-capex-winner/,企业官网2 MW液冷数据中心代理
powerExportCable,2320350000,289083005.226823,2609433005.22682,23203500,40,65235825.1306706,179212672.816886,0,0,none within analysis life,欧盟政府研究机构官网,https://joint-research-centre.ec.europa.eu/jrc-explains/subsea-cables-how-vulnerable-are-they-and-can-we-protect-them_en,欧盟政府研究机构平均安装成本代理
fiberCable,54141500,6745270.12195919,60886770.1219592,1624245,25,2435470.80487837,3268327.48056462,6450100.36911958,604237.527341771,Y12: 30% [假设值],欧盟政府研究机构官网,https://joint-research-centre.ec.europa.eu/jrc-explains/subsea-cables-how-vulnerable-are-they-and-can-we-protect-them_en,欧盟政府研究机构平均安装成本代理
