timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
10,160.664461511546,160.443923715895,0.6688,3.2199991471464,0,0,0,0,21.3251237158951,21.3251237158951,0.9,144,375.640720730934,0,0,5.97268745962185,2,1,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,375.640720730934,368.127906316315,0,368.127906316315,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-6.93889390390723e-15,137.953261994414,137.953261994414,0.528,2.81537269376355,16.7444792680426,16.5239414723917,0.0352,0.251633626483122,5.96672024908934,5.96672024908934,0.1056,0.152992826899727
11,178.710898015508,177.758539076429,0.715,3.53310769634656,0,0,0,0,38.5935390764291,38.5935390764291,0.9,144,679.822777460439,0,0,10.809182161621,2,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,679.822777460439,666.22632191123,0,666.22632191123,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-7.93809462606987e-15,158.285213042768,158.03285410369,0.6,3.2251602878304,19.7,19,0.04,0.289340101522843,0.725684972739423,0.725684972739423,0.075,0.0186073069933186
12,185.159942566619,184.179942566619,0.938,3.62099333736909,0,0,0,0,44.7919425666186,44.7919425666186,0.9,144,789.007267335187,0,0,12.5452155506295,3,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,789.007267335187,773.227121988483,0,773.227121988483,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-2.31481500634345e-14,157.579942566619,157.579942566619,0.84,3.21591719523711,27.58,26.6,0.056,0.40507614213198,0,0,0.042,0
13,167.407130156419,167.086817116951,1.043,3.28188627547394,0,0,0,0,27.5938171169512,27.5938171169512,0.9,144,486.063362990157,0,0,7.7284074715435,2,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,486.063362990157,476.342095730354,0,476.342095730354,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-4.94049245958195e-15,139.266714081308,139.266714081308,0.84,2.84217783839404,26.5988177386791,26.278504699211,0.056,0.400180274607274,1.5415983364325,1.5415983364325,0.147,0.0395281624726282
14,180.935077287039,180.935077287039,1.064,3.62037964559834,0,0,0,0,41.4210772870389,41.4210772870389,0.9,144,729.629686225804,0,0,11.6011120109903,3,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,729.629686225804,715.037092501288,0,715.037092501288,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-1.82631687550838e-14,149.386997427109,149.386997427109,0.84,3.0487142332063,22.7858296124777,22.7858296124777,0.056,0.346992329124026,8.7622502474525,8.7622502474525,0.168,0.224673083268013
15,0,0,0.266,0,0,0,13.316,13.316,0,0,0.812394736842105,129.983157894737,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-6.66133814775094e-16,0,0,0.21,0,0,0,0.014,0,0,0,0.042,0
16,140.362776005763,89.3711654850923,0.7525,1.83202696744377,14.7545706371191,14.7545706371191,0,0,0,0,0.9,144,0,0,0,0,0,0,55.4140948479732,53.326560035,49.56,3.766560035,1.07600000070621,49.56,0,0,0,0,294639.058823529,0,18,18,0,0,2.08753481297317,2.08753481297317,1.92053202793532,0.167002785037853,0,0,0,0,2.08753481297317,0,2.08753481297317,0,1.12687636999453e-14,0,0,0,129.020431825003,78.3804883982693,0.5775,1.59960180404631,4.74301069651787,4.74301069651787,0.0385,0.0722285892870741,6.59933348424289,6.24766639030515,0.1365,0.160196574110388
17,234.86987314295,230.461305470744,1.064,4.69015985561273,0,0,0,0,90.9473054707439,90.9473054707439,0.9,144,1602.03109865675,0,0,25.4722944686424,5,1,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,1602.03109865675,1569.99047668361,0,1569.99047668361,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-1.82631687550838e-14,228.041677346981,223.633109674775,0.84,4.56394101377092,4.69269012419027,4.69269012419027,0.056,0.0714622861551818,2.13550567177841,2.13550567177841,0.168,0.0547565556866258
18,217.769529821233,217.769529821233,0.938,4.44262311945488,0,0,0,0,78.3815298212331,78.3815298212331,0.9,144,1380.68574636662,0,0,21.9529033672293,4,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,1380.68574636662,1353.07203143929,0,1353.07203143929,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-2.31481500634345e-14,217.450401767534,217.450401767534,0.84,4.43776330137825,0.319128053698638,0.319128053698638,0.056,0.00485981807662901,0,0,0.042,0
19,223.084448290387,222.204965262821,1.0325,4.54179828705121,0,0,0,0,82.7224652628211,82.7224652628211,0.9,144,1457.15105271836,0,0,23.1687017382219,5,0,120,120,111.488332916311,8.51166708368879,1.07634581001474,110.72047559473,0,0,0,0,658244.082359259,0,18,18,0,0,2.8421709430404e-14,2.8421709430404e-14,2.61479726759717e-14,2.27373675443232e-15,1457.15105271836,1428.00803166399,0,1428.00803166399,2.8421709430404e-14,0,2.8421709430404e-14,0,0,0,0,-1.2490009027033e-14,221.746160159903,220.866677132337,0.84,4.50748320678238,0,0,0.056,0,1.33828813048443,1.33828813048443,0.1365,0.0343150802688316
