export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,17.9786635697036,0,0,0,120
0,18,18,0,0,0,120
0,18,18,0,0,0,120
0,18,18,0,0,0,120
0,18,13.745699607875,0,0,0,120
0,18,12.6,0,0,0,120
0,18,18,0,0,0,120
0,18,12.6,0,0,0,120
3.90798504668055e-14,18,18,0,0,27.7060701814689,120
1.48091678041274,18,18,0,0,110.72047559473,120
2.8421709430404e-14,18,18,375.640720730934,375.640720730934,110.72047559473,120
2.8421709430404e-14,18,18,679.822777460439,679.822777460439,110.72047559473,120
2.8421709430404e-14,18,18,789.007267335187,789.007267335187,110.72047559473,120
2.8421709430404e-14,18,18,486.063362990157,486.063362990157,110.72047559473,120
2.8421709430404e-14,18,18,729.629686225804,729.629686225804,110.72047559473,120
0,18,12.6,0,0,0,120
2.08753481297317,18,18,0,0,49.56,120
2.8421709430404e-14,18,18,1602.03109865675,1602.03109865675,110.72047559473,120
2.8421709430404e-14,18,18,1380.68574636662,1380.68574636662,110.72047559473,120
2.8421709430404e-14,18,18,1457.15105271836,1457.15105271836,110.72047559473,120
2.8421709430404e-14,18,18,980.594315251673,980.594315251673,110.72047559473,120
2.8421709430404e-14,18,18,1444.19244492389,1444.19244492389,110.72047559473,120
110.599445254855,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
98.5886773116207,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
121.762490196874,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
61.5695078161512,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
199.862037026981,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
0,18,18,0,0,20.8546042463157,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
200,18,18,1761.4937466972,1761.4937466972,110.72047559473,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,12.6,0,0,0,120
0,18,18,0,0,50.298586275496,120
0.0812559874423897,18,18,0,0,92.04,120
2.8421709430404e-14,18,18,840.403454922016,840.403454922016,110.72047559473,120
2.8421709430404e-14,18,18,727.566694255141,727.566694255141,110.72047559473,120
