export_actual_mw,cable_receive_mw,cable_loss_mw,marine_actual_mw,marine_unserved_mw,h2_withdrawn_kg,h2_delivered_kg,compute_delivered_mwh_cs,h2_pipe_withdrawn_kg,h2_ship_withdrawn_kg,h2_pipe_delivered_kg,h2_ship_delivered_kg,marine_below_rigid,marine_violation_count
0.0,0.0,0.0,17.9786635697036,0.021336430296400977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,13.745699607875,4.254300392125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,12.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,12.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
22.4010146340661,20.608933463340815,1.792081170725286,18.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0,0
113.862836775413,104.75380983337996,9.10902694203304,18.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,375.640720730934,368.1279063163153,7.08,0.0,375.640720730934,0.0,368.1279063163153,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,679.822777460439,666.2263219112302,7.08,0.0,679.822777460439,0.0,666.2263219112302,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,789.007267335187,773.2271219884832,7.08,0.0,789.007267335187,0.0,773.2271219884832,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,486.063362990157,476.34209573035383,7.08,0.0,486.063362990157,0.0,476.34209573035383,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,729.629686225804,715.0370925012879,7.08,0.0,729.629686225804,0.0,715.0370925012879,0,0
0.0,0.0,0.0,12.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
47.7960148429732,43.972333655535344,3.823681187437856,18.0,0.0,0.0,0.0,7.08,0.0,0.0,0.0,0.0,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,1602.03109865675,1569.9904766836148,7.08,0.0,1602.03109865675,0.0,1569.9904766836148,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,1380.68574636662,1353.0720314392875,7.08,0.0,1380.68574636662,0.0,1353.0720314392875,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,1457.15105271836,1428.0080316639928,7.08,0.0,1457.15105271836,0.0,1428.0080316639928,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,980.594315251673,960.9824289466395,7.08,0.0,980.594315251673,0.0,960.9824289466395,0,0
112.381919995,103.39136639540001,8.990553599599991,18.0,0.0,1444.19244492389,1415.308596025412,7.08,0.0,1444.19244492389,0.0,1415.308596025412,0,0
200.0,184.0,16.0,18.0,0.0,1761.4937466972,1726.263871763256,7.08,0.0,1761.4937466972,0.0,1726.263871763256,0,0
