export_actual_mw,cable_receive_mw,cable_loss_mw,marine_actual_mw,marine_unserved_mw,h2_withdrawn_kg,h2_delivered_kg,compute_delivered_mwh_cs,h2_pipe_withdrawn_kg,h2_ship_withdrawn_kg,h2_pipe_delivered_kg,h2_ship_delivered_kg,marine_below_rigid,marine_violation_count
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,20.8545987943866,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,12.6,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
0.0,0.0,0.0,18.0,0.0,0.0,0.0,110.720470206324,0.0,0.0,0.0,0.0,0,0
