scenarioId,phase,startH,endH,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,eBessChargeMWh,eBessDischargeMWh,ensMWh,cableActiveHours,hydrogenActiveHours,computeActiveHours
mix_E60_H40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0163105275569753,0,0,1088.25142305368,100,0,0,1,0,0
mix_E40_H60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E40_H60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_E40_H60,P3_COMPUTE_START,12,18,1394.7460423458,927.36,0,0,275.59592024725,0,17.7898779014459,0,6,0,0
mix_E40_H60,P4_CABLE_SATURATION,18,24,2016.09573983665,927.36,0,0,881.315739836653,0,0,0,6,0,0
mix_E40_H60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,927.36,10638,0,767.194892856001,12.4513407545035,0,0,6,6,0
mix_E40_H60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,927.36,10638,0,2447.48136495945,80.0000000000001,0,0,6,6,0
mix_E40_H60,P7_RENEWABLE_DROP,36,40,90.6600269024362,116.646824750241,0,0,0,0,120.65,0,4,0,0
mix_E40_H60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0144792398944774,0,0,1088.25341358375,100,0,0,1,0,0
mix_E20_H80,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E20_H80,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,40.9060042265202,0,19.9353157862095,0,0,0,0
mix_E20_H80,P3_COMPUTE_START,12,18,1394.7460423458,463.68,0,0,761.806042345804,0,0,0,6,0,0
mix_E20_H80,P4_CABLE_SATURATION,18,24,2016.09573983665,463.68,0,0,1385.31573983665,0,0,0,6,0,0
mix_E20_H80,P5_ELECTROLYSIS_START,24,30,2529.7022336105,463.68,10638,0,1263.47141008109,0,0,0,6,6,0
mix_E20_H80,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,463.68,10638,0,2978.91662380244,72.7395646864194,0,0,6,6,0
mix_E20_H80,P7_RENEWABLE_DROP,36,40,90.6600269024362,116.646824750241,0,0,0,0,120.65,0,4,0,0
mix_E20_H80,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0096549628314358,0,0,1088.25865736317,100,0,0,1,0,0
mix_E80_C20,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E80_C20,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,3.5527136788005e-15,40.9060042265202,19.9353157862095,0,0,0,0
mix_E80_C20,P3_COMPUTE_START,12,18,1394.7460423458,785.428153708285,0,468.401486988848,0,0,91.920211684941,0,6,0,6
mix_E80_C20,P4_CABLE_SATURATION,18,24,2016.09573983665,1104,0,468.401486988848,185.315739836653,0,0,0,6,0,6
mix_E80_C20,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1104,0,468.401486988848,696.762233610505,0,0,0,6,0,6
mix_E80_C20,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1104,0,468.401486988848,2310.91315443314,133.684210526316,0,0,6,0,6
mix_E80_C20,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E80_C20,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.01983827384856,0,148.698884758364,928.247588546843,100,0,0,1,0,8
mix_E60_C40,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E60_C40,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,3.5527136788005e-15,40.9060042265202,19.9353157862095,0,0,0,0
mix_E60_C40,P3_COMPUTE_START,12,18,1394.7460423458,548.615018686612,0,669.144981412639,0,0,50.514630139644,0,6,0,6
mix_E60_C40,P4_CABLE_SATURATION,18,24,2016.09573983665,1104,0,669.144981412639,10.7213213819498,0,41.405581545297,0,6,0,6
mix_E60_C40,P5_ELECTROLYSIS_START,24,30,2529.7022336105,1104,0,669.144981412639,427.078023084189,53.6842105263158,0,0,6,0,6
mix_E60_C40,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,1104,0,669.144981412639,2148.59736495945,80,0,0,6,0,6
mix_E60_C40,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E60_C40,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0228344443692708,0,148.698884758364,928.244331839755,100,0,0,1,0,8
mix_E40_C60,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E40_C60,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,0,40.9060042265202,19.9353157862095,0,0,0,0
mix_E40_C60,P3_COMPUTE_START,12,18,1394.7460423458,586.708153708285,0,669.144981412639,0,0,91.920211684941,0,6,0,6
mix_E40_C60,P4_CABLE_SATURATION,18,24,2016.09573983665,927.36,0,669.144981412639,161.315739836653,0,0,0,6,0,6
mix_E40_C60,P5_ELECTROLYSIS_START,24,30,2529.7022336105,927.36,0,669.144981412639,672.762233610505,0,0,0,6,0,6
mix_E40_C60,P6_ALL_CHANNELS_CURTAIL,30,36,4277.53736495945,927.36,0,669.144981412639,2286.91315443314,133.684210526316,0,0,6,0,6
mix_E40_C60,P7_RENEWABLE_DROP,36,40,90.6600269024362,43.0468247502413,0,74.3494423791822,0,0,120.65,0,1,0,4
mix_E40_C60,P8_RECOVERY_TERMINAL,40,48,1360.18915188798,0.0212210918162421,0,148.698884758364,928.246085483834,100,0,0,1,0,8
mix_E20_C80,P1_SHORTAGE_DISCHARGE,0,6,111.467858656716,0,0,0,-2.1316282072803e-14,0,15.312141343284,0,0,0,0
mix_E20_C80,P2_PV_RISE_CHARGE,6,12,148.110688440311,0,0,0,14.3620143088472,26.543989917673,19.9353157862095,0,0,0,0
mix_E20_C80,P3_COMPUTE_START,12,18,1394.7460423458,463.68,0,669.144981412639,120.76453611701,0,78.9584937712064,0,6,0,6
