timestamp_utc,export_actual_mw,cable_receive_mw,cable_loss_mw,marine_actual_mw,marine_unserved_mw,h2_withdrawn_kg,h2_delivered_kg,compute_delivered_mwh_cs,marine_below_rigid,marine_violation_count
2025-06-03T10:00:00Z,0.0,0.0,0.0,0.0212,17.9788,500.0,495.0,0.0,1,1
2025-06-03T11:00:00Z,0.0,0.0,0.0,0.0,18.0,500.0,495.0,0.0,1,1
2025-06-03T12:00:00Z,0.0,0.0,0.0,0.00082,17.99918,0.0,0.0,0.0,1,1
2025-06-03T13:00:00Z,0.0,0.0,0.0,0.016693,17.983307,0.0,0.0,0.0,1,1
2025-06-03T14:00:00Z,0.0,0.0,0.0,0.043896,17.956104,0.0,0.0,0.0,1,1
2025-06-03T15:00:00Z,0.0,0.0,0.0,0.023879,17.976121,0.0,0.0,0.0,1,1
2025-06-03T16:00:00Z,0.0,0.0,0.0,0.000918,17.999082,0.0,0.0,0.0,1,1
2025-06-03T17:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-03T18:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-03T19:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-03T20:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-03T21:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-03T22:00:00Z,0.0,0.0,0.0,0.06228,17.93772,0.0,0.0,0.0,1,1
2025-06-03T23:00:00Z,0.0,0.0,0.0,0.122848,17.877152,0.0,0.0,0.0,1,1
2025-06-04T00:00:00Z,0.0,0.0,0.0,0.258039,17.741961,0.0,0.0,0.0,1,1
2025-06-04T01:00:00Z,0.0,0.0,0.0,0.422714,17.577286,0.0,0.0,0.0,1,1
2025-06-04T02:00:00Z,0.0,0.0,0.0,0.687692,17.312308,0.0,0.0,0.0,1,1
2025-06-04T03:00:00Z,0.0,0.0,0.0,1.100064,16.899936,0.0,0.0,0.0,1,1
2025-06-04T04:00:00Z,0.0,0.0,0.0,1.795062,16.204938,0.0,0.0,0.0,1,1
2025-06-04T05:00:00Z,0.0,0.0,0.0,2.421339,15.578661,0.0,0.0,0.0,1,1
2025-06-04T06:00:00Z,0.0,0.0,0.0,3.023011,14.976989,0.0,0.0,0.0,1,1
2025-06-04T07:00:00Z,0.0,0.0,0.0,3.624154,14.375846,0.0,0.0,0.0,1,1
2025-06-04T08:00:00Z,0.0,0.0,0.0,3.820771,14.179229,0.0,0.0,0.0,1,1
2025-06-04T09:00:00Z,0.0,0.0,0.0,3.80941,14.19059,0.0,0.0,0.0,1,1
2025-06-04T10:00:00Z,0.0,0.0,0.0,3.893609,14.106391,0.0,0.0,0.0,1,1
2025-06-04T11:00:00Z,0.0,0.0,0.0,4.193585,13.806415,0.0,0.0,0.0,1,1
2025-06-04T12:00:00Z,0.0,0.0,0.0,4.510134,13.489866,0.0,0.0,0.0,1,1
2025-06-04T13:00:00Z,0.0,0.0,0.0,4.811383,13.188617,0.0,0.0,0.0,1,1
2025-06-04T14:00:00Z,0.0,0.0,0.0,4.811383,13.188617,0.0,0.0,0.0,1,1
2025-06-04T15:00:00Z,0.0,0.0,0.0,4.22173,13.77827,0.0,0.0,0.0,1,1
2025-06-04T16:00:00Z,0.0,0.0,0.0,2.984911,15.015089,0.0,0.0,0.0,1,1
2025-06-04T17:00:00Z,0.0,0.0,0.0,1.471677,16.528323,0.0,0.0,0.0,1,1
2025-06-04T18:00:00Z,0.0,0.0,0.0,0.483193,17.516807,0.0,0.0,0.0,1,1
2025-06-04T19:00:00Z,0.0,0.0,0.0,0.133542,17.866458,0.0,0.0,0.0,1,1
2025-06-04T20:00:00Z,0.0,0.0,0.0,0.046639,17.953361,0.0,0.0,0.0,1,1
2025-06-04T21:00:00Z,0.0,0.0,0.0,0.023879,17.976121,0.0,0.0,0.0,1,1
2025-06-04T22:00:00Z,0.0,0.0,0.0,0.075608,17.924392,0.0,0.0,0.0,1,1
2025-06-04T23:00:00Z,0.0,0.0,0.0,0.195972,17.804028,0.0,0.0,0.0,1,1
2025-06-05T00:00:00Z,0.0,0.0,0.0,0.312187,17.687813,0.0,0.0,0.0,1,1
2025-06-05T01:00:00Z,0.0,0.0,0.0,0.633178,17.366822,0.0,0.0,0.0,1,1
2025-06-05T02:00:00Z,0.0,0.0,0.0,1.131749,16.868251,0.0,0.0,0.0,1,1
2025-06-05T03:00:00Z,0.0,0.0,0.0,1.329186,16.670814,0.0,0.0,0.0,1,1
2025-06-05T04:00:00Z,0.0,0.0,0.0,1.425148,16.574852,0.0,0.0,0.0,1,1
2025-06-05T05:00:00Z,0.0,0.0,0.0,1.954645,16.045355,0.0,0.0,0.0,1,1
2025-06-05T06:00:00Z,0.0,0.0,0.0,1.401618,16.598382,0.0,0.0,0.0,1,1
2025-06-05T07:00:00Z,0.0,0.0,0.0,1.343574,16.656426,0.0,0.0,0.0,1,1
2025-06-05T08:00:00Z,0.0,0.0,0.0,0.921933,17.078067,0.0,0.0,0.0,1,1
2025-06-05T09:00:00Z,0.0,0.0,0.0,0.456915,17.543085,0.0,0.0,0.0,1,1
2025-06-05T10:00:00Z,0.0,0.0,0.0,0.130978,17.869022,0.0,0.0,0.0,1,1
2025-06-05T11:00:00Z,0.0,0.0,0.0,0.205723,17.794277,0.0,0.0,0.0,1,1
2025-06-05T12:00:00Z,0.0,0.0,0.0,0.425785,17.574215,0.0,0.0,0.0,1,1
2025-06-05T13:00:00Z,0.0,0.0,0.0,0.613038,17.386962,0.0,0.0,0.0,1,1
2025-06-05T14:00:00Z,0.0,0.0,0.0,0.652834,17.347166,0.0,0.0,0.0,1,1
2025-06-05T15:00:00Z,0.0,0.0,0.0,0.476574,17.523426,0.0,0.0,0.0,1,1
2025-06-05T16:00:00Z,0.0,0.0,0.0,0.209509,17.790491,0.0,0.0,0.0,1,1
2025-06-05T17:00:00Z,0.0,0.0,0.0,0.038738,17.961262,0.0,0.0,0.0,1,1
2025-06-05T18:00:00Z,0.0,0.0,0.0,0.00032,17.99968,0.0,0.0,0.0,1,1
2025-06-05T19:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-05T20:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-05T21:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-05T22:00:00Z,0.0,0.0,0.0,0.20012,17.79988,0.0,0.0,0.0,1,1
2025-06-05T23:00:00Z,0.0,0.0,0.0,0.61048,17.38952,0.0,0.0,0.0,1,1
2025-06-06T00:00:00Z,0.0,0.0,0.0,1.10952,16.89048,0.0,0.0,0.0,1,1
2025-06-06T01:00:00Z,0.0,0.0,0.0,1.87092,16.12908,0.0,0.0,0.0,1,1
2025-06-06T02:00:00Z,0.0,0.0,0.0,2.45888,15.54112,0.0,0.0,0.0,1,1
2025-06-06T03:00:00Z,0.0,0.0,0.0,2.7456,15.2544,0.0,0.0,0.0,1,1
2025-06-06T04:00:00Z,0.0,0.0,0.0,2.80932,15.19068,0.0,0.0,0.0,1,1
2025-06-06T05:00:00Z,0.0,0.0,0.0,2.9776,15.0224,0.0,0.0,0.0,1,1
2025-06-06T06:00:00Z,0.0,0.0,0.0,2.48312,15.51688,0.0,0.0,0.0,1,1
2025-06-06T07:00:00Z,0.0,0.0,0.0,2.0946,15.9054,0.0,0.0,0.0,1,1
2025-06-06T08:00:00Z,0.0,0.0,0.0,1.39768,16.60232,0.0,0.0,0.0,1,1
2025-06-06T09:00:00Z,0.0,0.0,0.0,0.7466,17.2534,0.0,0.0,0.0,1,1
2025-06-06T10:00:00Z,0.0,0.0,0.0,0.1762,17.8238,0.0,0.0,0.0,1,1
2025-06-06T11:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-06T12:00:00Z,0.0,0.0,0.0,0.000432,17.999568,0.0,0.0,0.0,1,1
2025-06-06T13:00:00Z,0.0,0.0,0.0,0.006187,17.993813,0.0,0.0,0.0,1,1
2025-06-06T14:00:00Z,0.0,0.0,0.0,0.022995,17.977005,0.0,0.0,0.0,1,1
2025-06-06T15:00:00Z,0.0,0.0,0.0,0.057135,17.942865,0.0,0.0,0.0,1,1
2025-06-06T16:00:00Z,0.0,0.0,0.0,0.062077,17.937923,0.0,0.0,0.0,1,1
2025-06-06T17:00:00Z,0.0,0.0,0.0,0.030712,17.969288,0.0,0.0,0.0,1,1
2025-06-06T18:00:00Z,0.0,0.0,0.0,0.001676,17.998324,0.0,0.0,0.0,1,1
2025-06-06T19:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-06T20:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-06T21:00:00Z,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,1,1
2025-06-06T22:00:00Z,0.0,0.0,0.0,0.3514,17.6486,0.0,0.0,0.0,1,1
2025-06-06T23:00:00Z,0.0,0.0,0.0,1.04752,16.95248,0.0,0.0,0.0,1,1
2025-06-07T00:00:00Z,0.0,0.0,0.0,1.95568,16.04432,0.0,0.0,0.0,1,1
2025-06-07T01:00:00Z,0.0,0.0,0.0,2.76632,15.23368,0.0,0.0,0.0,1,1
2025-06-07T02:00:00Z,0.0,0.0,0.0,3.33448,14.66552,0.0,0.0,0.0,1,1
2025-06-07T03:00:00Z,0.0,0.0,0.0,3.65612,14.34388,0.0,0.0,0.0,1,1
2025-06-07T04:00:00Z,0.0,0.0,0.0,3.80712,14.19288,0.0,0.0,0.0,1,1
2025-06-07T05:00:00Z,0.0,0.0,0.0,3.5834,14.4166,0.0,0.0,0.0,1,1
2025-06-07T06:00:00Z,0.0,0.0,0.0,3.2018,14.7982,0.0,0.0,0.0,1,1
2025-06-07T07:00:00Z,0.0,0.0,0.0,2.62212,15.37788,0.0,0.0,0.0,1,1
2025-06-07T08:00:00Z,0.0,0.0,0.0,1.860928,16.139072,0.0,0.0,0.0,1,1
2025-06-07T09:00:00Z,0.0,0.0,0.0,1.029115,16.970885,0.0,0.0,0.0,1,1
2025-06-07T10:00:00Z,0.0,0.0,0.0,0.263791,17.736209,0.0,0.0,0.0,1,1
2025-06-07T11:00:00Z,0.0,0.0,0.0,0.070932,17.929068,0.0,0.0,0.0,1,1
2025-06-07T12:00:00Z,0.0,0.0,0.0,0.10012,17.89988,0.0,0.0,0.0,1,1
2025-06-07T13:00:00Z,0.0,0.0,0.0,0.13074,17.86926,0.0,0.0,0.0,1,1
2025-06-07T14:00:00Z,0.0,0.0,0.0,0.142186,17.857814,0.0,0.0,0.0,1,1
2025-06-07T15:00:00Z,0.0,0.0,0.0,0.122571,17.877429,0.0,0.0,0.0,1,1
2025-06-07T16:00:00Z,0.0,0.0,0.0,0.112219,17.887781,0.0,0.0,0.0,1,1
2025-06-07T17:00:00Z,0.0,0.0,0.0,0.104849,17.895151,0.0,0.0,0.0,1,1
2025-06-07T18:00:00Z,0.0,0.0,0.0,0.09781,17.90219,0.0,0.0,0.0,1,1
2025-06-07T19:00:00Z,0.0,0.0,0.0,0.074698,17.925302,0.0,0.0,0.0,1,1
2025-06-07T20:00:00Z,0.0,0.0,0.0,0.030712,17.969288,0.0,0.0,0.0,1,1
2025-06-07T21:00:00Z,0.0,0.0,0.0,0.005158,17.994842,0.0,0.0,0.0,1,1
2025-06-07T22:00:00Z,0.0,0.0,0.0,0.388483,17.611517,0.0,0.0,0.0,1,1
2025-06-07T23:00:00Z,0.0,0.0,0.0,1.135,16.865,0.0,0.0,0.0,1,1
