scenarioId,category,item,value,unit,dataStatus
asset_switch_E,cost,depreciationCostCNY,2567701.00991779,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,financingCostCNY,3478523.2449161,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,fixedOMCostCNY,1721206.09656088,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,replacementReserveCostCNY,159571.668229315,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,sourceVariableOMCostCNY,238751.61184436,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,bessDegradationCostCNY,414.3,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,bessOpeningInventoryCostCNY,4.9311665861751e-12,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,hydrogenVariableCostCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,hydrogenOpeningInventoryCostCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,hydrogenPipeTransportCostCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,hydrogenShipTransportCostCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,electrolyzerStartCostCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,spillPenaltyCNY,350550.446542021,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,unservedPenaltyCNY,54000,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,computeSLAPenaltyCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,cost,computeVariableOMCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,revenue,electricityRevenueCNY,1411861.15815325,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,revenue,hydrogenRevenueCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,revenue,computeGrossRevenueCNY,0,CNY,[模型仿真结果；参数含假设值]
asset_switch_E,revenue,marineServiceRevenueCNY,127980,CNY,[模型仿真结果；参数含假设值]
