timeH,sourceMW,bessChargeMW,bessDischargeMW,electrolyzerMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2DeliveredKg,dcFacilityMW,marineMW,exportSendMW,spillMW,marineUnservedMW,busResidualMW
0,623.772118990119,15.3019390581717,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,167.175183908626,0,0
1,651.070163461889,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,209.580167438568,0,0
2,670.904032218032,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,229.414036194711,0,0
3,662.374588223506,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,220.884592200185,0,0
4,483.323320262499,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,41.8333242391779,0,0
5,402.991010421535,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,161.576014398214,0,0,-3.77309294918859e-13
6,440.992037026981,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,199.86204100366,0,0,-4.71844785465692e-15
7,42.4097223194053,0,0,0,0.590855263157895,94.5368421052631,0,0,0,22.5697182946361,18,4.02476920413619e-06,3.27515792264421e-15,0,0
8,610.112292463422,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,168.622296440101,0,0
9,739.518509370593,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,298.028513347272,0,0
10,729.290562344978,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,287.800566321656,0,0
11,711.034156305716,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,269.724160282395,0,0
12,526.228407333196,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,85.0984113098745,0,0
13,477.390906048432,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,35.9609100251109,0,0
14,516.957363677254,0,0,100,0.590855263157895,94.5368421052631,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,75.4673676539327,0,0
15,0,0,13.81,0,0.5,80,0,0,0,0,12.6,0,0,5.4,-9.43689570931383e-16
16,255.346187100264,0,0,99.4442480420919,0.5,80,1751.7042107115,0,1734.18716860439,119.999996023321,18,15.3019430348505,0,0,-4.15778522722121e-14
17,658.460872773554,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,216.970876750233,0,0
18,622.198656632094,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,181.068660608773,0,0
19,634.871329322346,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,193.471333299025,0,0
20,260.964452369117,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,20.3744563457954,0,0,-7.44404538011167e-14
21,296.505740131106,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,55.4657441077847,0,0,-3.66928709638614e-14
22,468.439260339807,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,26.9492643164858,0,0
23,452.424903082161,0,0,100,0.5,80,1761.4937466972,0,1743.87880923023,119.999996023321,18,200,10.9349070588396,0,0
