timeH,sourceAvailableMW,sourceActualMW,sourceAuxMW,collectionLossMW,bessChargeRequestedMW,bessChargeActualMW,bessDischargeRequestedMW,bessDischargeActualMW,electrolyzerRequestedMW,electrolyzerActualMW,bessSOC,bessEnergyMWh,h2ProductionKg,h2InventoryKg,h2StorageLossKg,waterConsumptionM3,electrolyzerOnlineModules,electrolyzerStartEvent,computeRequestedMW,dcFacilityActualMW,itPowerMW,dcAuxPowerMW,pue,computeServedMWhCS,computeQueueMWhCS,computeRigidUnservedMWhCS,computeFlexOverdueMWhCS,computeSpotDroppedMWhCS,computeGrossRevenueCNY,computeSLAPenaltyCNY,marineRequestedMW,marineActualMW,marineUnservedMW,exportInitialRequestedMW,exportFinalRequestedMW,exportSendActualMW,cableReceiveMW,cableLossMW,h2WithdrawnKg,h2DeliveredKg,h2PipeDeliveredKg,h2ShipDeliveredKg,computeReleasedMW,marineTopUpMW,exportTopUpMW,electrolyzerTopUpMW,spillMW,criticalUnservedMW,totalUnservedMW,busResidualMW,windAvailableMW,windActualMW,windAuxMW,windCollectionLossMW,pvAvailableMW,pvActualMW,pvAuxMW,pvCollectionLossMW,tidalAvailableMW,tidalActualMW,tidalAuxMW,tidalCollectionLossMW
10,730.293006870663,729.290562344978,3.04,14.6363597597564,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,607.800562344978,0,0,0,627.060281792791,627.060281792791,2.4,12.7971486080161,76.1112694001934,75.1088248745076,0.16,1.14378921128692,27.1214556776788,27.1214556776788,0.48,0.695421940453303
11,714.843592062031,711.034156305716,2.86,14.1324307853863,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,589.724156305716,0,0,0,633.140852171073,632.131416414759,2.4,12.9006411513216,78.8,76,0.16,1.15736040609137,2.90273989095769,2.90273989095769,0.3,0.0744292279732742
12,529.028407333196,526.228407333196,2.68,10.345695249626,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,405.098407333196,0,0,0,450.228407333196,450.228407333196,2.4,9.18833484353461,78.8,76,0.16,1.15736040609137,0,0,0.12,0
13,478.306086161198,477.390906048432,2.98,9.37681792992554,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,355.960906048432,0,0,0,397.904897375165,397.904897375165,2.4,8.12050810969724,75.9966221105117,75.0814419977457,0.16,1.14337221316364,4.40456667552142,4.40456667552142,0.42,0.112937607064652
14,516.957363677254,516.957363677254,3.04,10.3439418445667,0,0,0,0,100,100,0.590855263157895,94.5368421052631,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,395.467363677254,0,0,0,426.819992648882,426.819992648882,2.4,8.71061209487514,65.1023703213648,65.1023703213648,0.16,0.991406654640073,25.0350007070071,25.0350007070071,0.48,0.641923095051465
15,0,0,0.76,0,0,0,13.81,13.81,0,0,0.5,80,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,12.6,5.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4,-9.43689570931383e-16,0,0,0.6,0,0,0,0.04,0,0,0,0.12,0
16,401.03650287361,255.346187100264,2.15,5.23436276412507,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,1,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,134.746187100264,0,0,0,368.629805214293,223.944252566484,1.65,4.57029086870375,13.5514591329082,13.5514591329082,0.11,0.206367397963069,18.8552385264083,17.8504754008719,0.39,0.457704497458253
17,671.056780408428,658.460872773554,3.04,13.4004567303221,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,536.970872773554,0,0,0,651.547649562803,638.951741927929,2.4,13.0398314679169,13.4076860691151,13.4076860691151,0.16,0.204177960443377,6.10144477650973,6.10144477650973,0.48,0.156447301961788
18,622.198656632094,622.198656632094,2.68,12.6932089127282,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,501.068656632094,0,0,0,621.286862192955,621.286862192955,2.4,12.6793237182236,0.911794439138966,0.911794439138966,0.16,0.0138851945046543,0,0,0.12,0
19,637.384137972535,634.871329322346,2.95,12.976566534432,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,513.471329322346,0,0,0,633.560457599722,631.047648949533,2.4,12.8785234479497,0,0,0.16,0,3.82368037281266,3.82368037281266,0.39,0.0980430864823759
20,260.964452369117,260.964452369117,2.14,5.45921202199763,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,140.374452369117,0,0,0,235.470399204925,235.470399204925,1.5,4.80551835112092,0,0,0.16,0,25.4940531641917,25.4940531641917,0.48,0.65369367087671
21,325.500711685366,296.505740131106,2.59,6.23952059922194,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,175.465740131106,0,0,0,287.811098598951,260.505740131106,1.95,5.31644367614502,0,0,0.16,0,37.6896130864143,36,0.48,0.923076923076923
22,468.931683359285,468.439260339807,3.04,9.73281817291987,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,346.949260339807,0,0,0,435.410822820069,435.410822820069,2.4,8.88593515959324,0,0,0.16,0,33.5208605392168,33.0284375197384,0.48,0.846883013326625
23,452.424903082161,452.424903082161,3.04,9.29320904504466,0,0,0,0,100,100,0.5,80,1761.4937466972,0,0,28.0077505724855,5,0,0,0,0,0,1,0,0,0,0,0,0,0,18,18,0,0,0,0,0,0,1761.4937466972,1743.87880923023,1743.87880923023,0,0,0,0,0,330.934903082161,0,0,0,440.949776594555,440.949776594555,2.4,8.99897503254194,0,0,0.16,0,11.475126487606,11.475126487606,0.48,0.294234012502718
