export_requested_mw,marine_requested_mw,marine_available_mw,h2_available_kg,h2_requested_kg,compute_served_mwh_cs,compute_delivery_cap_mwh_cs
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,397.564247303246,397.564247303246,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,12.6,0,0,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
0,18,18,1761.4937466972,1761.4937466972,0,120
