timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
40,NORMAL,195.810470669534,195.810470669534,153.36426074235,9.76996261670138e-15,15.8635860763866,141.095119882962,0,19.5627898985142,0,0,65975.6381071235,3916.20941339067,-62059.4286937328,1,1,model_causal_myopic_1h_annual,0.906259008936169,5.77325942530378e-17,0.0937409910638313,1,195.810470669534,195.810470669534,0,0,0,0.719783141846967,9.76996261670138e-15,3.75484975740761e-13,0,153.36426074235,20.9562099271834,0,0,193.648,0,2.16247066953362
41,NORMAL,354.534615331254,271.647459931978,200,1.59872115546023e-14,15.7795022637687,184,0,19.4708479550394,82.8871553992762,0,129215.42397752,5432.94919863955,-133441.114743537,1,1,model_causal_myopic_1h_annual,0.926872098145449,7.40905015855468e-17,0.073127901854551,1,354.534615331254,271.647459931978,82.8871553992762,29.2996813731424,0,0.89375,1.59872115546023e-14,6.57098707546332e-13,0,200,20.8577785588352,0,0,351.1732,0,3.36141533125378
42,NORMAL,480.710227758567,243.073305326057,200,0,16.3992294811585,184,0,20.1480736750394,237.636922432509,0,129554.03683752,4861.46610652114,-124692.570730999,1,1,model_causal_myopic_1h_annual,0.924217708535851,0,0.0757822914641492,1,480.710227758567,243.073305326057,237.636922432509,0,0,0.89375,0,6.57098707546332e-13,0,200,21.5833053260572,0,0,475.888,0,4.82222775856656
43,NORMAL,554.597470774167,242.558273123925,200,0,15.9592918359939,184,0,19.6672336951372,312.039197650242,0,129313.616847569,4851.16546247849,-124462.45138509,1,1,model_causal_myopic_1h_annual,0.926100462266222,0,0.0738995377337777,1,554.597470774167,242.558273123925,312.039197650242,0,0,0.89375,0,6.57098707546332e-13,0,200,21.0682731239246,0,0,548.114,0,6.48347077416645
44,NORMAL,596.914633421327,243.226521140944,200,0,16.5300930914909,184,0,20.2909854338837,353.688112280384,0,129625.492716942,4864.53042281888,-124760.962294123,1,1,model_causal_myopic_1h_annual,0.923659141990456,0,0.0763408580095444,1,596.914633421327,243.226521140944,353.688112280384,0,0,0.89375,0,6.57098707546332e-13,0,200,21.7365211409437,0,0,588.392,0,8.52263342132742
45,NORMAL,605.538633421327,242.464084160319,200,0,15.8788262142854,184,0,19.579196733219,363.074549261009,0,129269.598366609,4849.28168320638,-124420.316683403,1,1,model_causal_myopic_1h_annual,0.926445652439652,0,0.0735543475603474,1,605.538633421327,242.464084160319,363.074549261009,0,0,0.89375,0,6.57098707546332e-13,0,200,20.9740841603189,0,0,597.016,0,8.52263342132742
46,NORMAL,606.635470774166,250.280798871897,200,0,23.708195956244,184,0,26.8759820432515,356.35467190227,0,85077.9910216257,5005.61597743793,-80072.3750441878,1,1,model_causal_myopic_1h_annual,0.894021782014276,0,0.105978217985724,1,606.635470774166,250.280798871897,356.35467190227,0,0,0.89375,0,6.57098707546332e-13,0,200,28.7907988718967,0,0,600.152,0,6.48347077416645
47,NORMAL,602.160518878961,252.145064426167,200,0,25.381989641335,184,0,28.6161776031624,350.015454452793,0,85948.0888015812,5042.90128852335,-80905.1875130579,1,1,model_causal_myopic_1h_annual,0.887382351705533,0,0.112617648294467,1,602.160518878961,252.145064426167,350.015454452793,0,0,0.89375,0,6.57098707546332e-13,0,200,30.6550644261674,0,0,594.664,2.67429112039414,4.82222775856656
48,NORMAL,610.08885020928,249.500015237995,200,0,23.3303921496793,184,0,26.4830329660831,360.588834971285,0,62801.5164830416,4990.00030475991,-57811.5161782816,1,1,model_causal_myopic_1h_annual,0.895534181778345,0,0.104465818221655,1,610.08885020928,249.500015237995,360.588834971285,0,0,0.89375,0,6.57098707546332e-13,0,200,28.3700152379953,0,0,590.352,19.7368502092799,0
49,NORMAL,614.587903583959,249.127003822807,200,0,22.9955178359181,184,0,26.1351652575712,365.460899761152,0,62627.5826287856,4982.54007645614,-57645.0425523294,1,1,model_causal_myopic_1h_annual,0.896879013268606,0,0.103120986731394,1,614.587903583959,249.127003822807,365.460899761152,0,0,0.89375,0,6.57098707546332e-13,0,200,27.997003822807,0,0,576.142,38.4459035839587,0
50,NORMAL,609.287714921247,251.023322549737,200,0,24.6981176707201,184,0,27.9057323266445,358.26439237151,0,63512.8661633223,5020.46645099475,-58492.3997123275,1,1,model_causal_myopic_1h_annual,0.890083112725877,0,0.109916887274123,1,609.287714921247,251.023322549737,358.26439237151,0,0,0.89375,0,6.57098707546332e-13,0,200,29.8933225497373,0,0,554.582,54.7057149212471,0
51,NORMAL,614.22463509098,251.526163657483,200,0,25.1496118123887,184,0,28.3755019093932,362.698471433497,0,63747.7509546966,5030.52327314965,-58717.2276815469,1,1,model_causal_myopic_1h_annual,0.888298222635421,0,0.111701777364579,1,614.22463509098,251.526163657483,362.698471433497,0,0,0.89375,0,6.57098707546332e-13,0,200,30.3961636574825,0,0,550.27,63.9546350909795,0
52,NORMAL,604.000263851053,249.243641277597,200,0,23.1003165425542,184,0,26.2450508849936,354.756622573456,0,62682.5254424968,4984.87282555194,-57697.6526169448,1,1,model_causal_myopic_1h_annual,0.896457715073891,0,0.103542284926109,1,604.000263851053,249.243641277597,354.756622573456,0,0,0.89375,0,6.57098707546332e-13,0,200,28.1136412775969,0,0,538.412,65.5882638510529,0
53,NORMAL,565.044069653882,248.652750565007,200,0,22.5698245179775,184,0,25.6937619703017,316.391319088874,0,62406.8809851509,4973.05501130015,-57433.8259738507,1,1,model_causal_myopic_1h_annual,0.89859440934162,0,0.10140559065838,1,565.044069653882,248.652750565007,316.391319088874,0,0,0.89375,0,6.57098707546332e-13,0,200,27.5227505650075,0,0,500.682,64.3620696538819,0
54,NORMAL,500.194953616334,250.305647196958,200,0,24.0538696708719,184,0,27.2371650910594,249.889306419376,0,63178.5825455297,5006.11294393916,-58172.4696015905,1,1,model_causal_myopic_1h_annual,0.892642471624319,0,0.107357528375681,1,500.194953616334,250.305647196958,249.889306419376,0,0,0.89375,0,6.57098707546332e-13,0,200,29.1756471969581,0,0,448.938,51.2569536163339,0
55,NORMAL,426.62539213287,250.64569826112,200,7.105427357601e-15,24.3592045426781,184,0,27.5549742002339,175.97969387175,0,85417.487100117,5012.9139652224,-80404.5731348946,1,1,model_causal_myopic_1h_annual,0.891427656857981,3.16698723018043e-17,0.108572343142019,1,426.62539213287,250.64569826112,175.97969387175,0,0,0.89375,7.105427357601e-15,7.82260366126585e-13,0,200,29.5156982611201,0,0,388.57,38.0553921328704,0
56,NORMAL,349.49903823979,251.592312599239,200,-8.88178419700125e-16,25.2091331489696,184,0,28.439068001023,97.906725640551,0,85859.5340005115,5031.84625198478,-80827.6877485267,1,1,model_causal_myopic_1h_annual,0.888063451084399,-3.94379396288791e-18,0.111936548915601,1,349.49903823979,251.592312599239,97.906725640551,0,0,0.89375,-8.88178419700125e-16,7.66615158804054e-13,0,200,30.4623125992388,0,0,329.9464,19.5526382397899,0
