timeH,eventCode,eAvailableMWh,eSourceUsedMWh,eElectricityInputMWh,eHydrogenInputMWh,eFlexibleComputeInputMWh,eCableReceivedMWh,h2ProducedKg,h2PipeDeliveredKg,h2ShipDeliveredKg,h2DeliveredKg,h2InventoryDeltaKg,eComputeServiceMWhCS,eCurtailmentMWh,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,exitflag,auditPass,runStatus,strictPass,relaxedPass,strategyId,realizedElectricityShare,realizedHydrogenShare,realizedComputeShare,ratioActive,forecastMode,priorAvailableMW,posteriorAvailableMW,forecastSigmaMW,planningAvailableMW,forecastErrorMW,planningWindowH,plannedFirstHourAllocatedMW,plannedFirstHourHydrogenMW,plannedWindowHydrogenMWh,plannedMinimumAllocatedInputMW,plannedElectricityShare,plannedHydrogenShare,plannedComputeShare,rawPlannedElectricityShare,rawPlannedHydrogenShare,rawPlannedComputeShare,plannedRatioActive,planHeldByDeadband,planShareChangeL1,eventRiskLevel,riskQuantile,bessReserveTargetSOC,h2ReserveTargetKg,bessReserveShortfallMWh,h2ReserveShortfallKg,reserveMode,planStatus,planFallbackUsed,planFallbackMessage,reserveConstraintRelaxationUsed,reliabilityRelaxationUsed,minimumFeasibleENSMWh,reserveTargetEnforced,reserveTargetFallbackUsed,normalStateFloorEnforced,normalBessFloorShortfallMWh,normalH2FloorShortfallKg,surplusRedispatchUsed,surplusRedispatchHydrogenMWh,surplusRedispatchCurtailmentReductionMWh,surplusRedispatchTriggerMW,mainConclusionEligible,mainConclusionStatus,pSourceAvailableMW,pSourceUsedMW,pCurtailmentMW,pBessChargeMW,pBessDischargeMW,bessSOC,pElectrolyzerMW,h2InventoryKg,pH2PowerMW,pCableSendMW,pComputeFacilityMW,pComputeBaseUnservedMW,pMarineUnservedMW,pInternalUnservedMW,pWindAvailableMW,pPVAvailableMW,pTidalAvailableMW
10,NORMAL,233.9947898688,221.49,200,0,0,184,0,0,0,0,0,0,12.5047898688002,0,71640,4429.8,-67210.2,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,12.5047898688002,1,MAIN_CONCLUSION_ELIGIBLE,233.9947898688,221.49,12.5047898688002,0,0,0.89375,0,0,0,200,0,0,0,0,204.82,0,29.1747898688002
11,NORMAL,254.1043898688,221.49,200,0,0,184,0,0,0,0,0,0,32.6143898688001,0,71640,4429.8,-67210.2,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,32.6143898688001,1,MAIN_CONCLUSION_ELIGIBLE,254.1043898688,221.49,32.6143898688001,0,0,0.89375,0,0,0,200,0,0,0,0,224.9296,0,29.1747898688002
12,NORMAL,221.578,221.13,200,0,0,184,0,0,0,0,0,0,0.448000000000064,0,71640,4422.6,-67217.4,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0.448000000000064,1,MAIN_CONCLUSION_ELIGIBLE,221.578,221.13,0.448000000000064,0,0,0.89375,0,0,0,200,0,0,0,0,221.578,0,0
13,NORMAL,196.9996,196.9996,175.8696,0,0,161.800032,0,0,0,0,0,0,0,0,63648.01152,3939.992,-59708.01952,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,196.9996,196.9996,0,0,0,0.89375,0,0,0,175.8696,0,0,0,0,196.9996,0,0
14,NORMAL,159.0148,159.0148,137.8848,0,0,126.854016,0,0,0,0,0,0,0,0,51067.44576,3180.296,-47887.14976,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,159.0148,159.0148,0,0,0,0.89375,0,0,0,137.8848,0,0,0,0,159.0148,0,0
15,NORMAL,135.436,135.436,114.306,0,0,105.16152,0,0,0,0,0,0,0,0,43258.1472,2708.72,-40549.4272,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,135.436,135.436,0,0,0,0.89375,0,0,0,114.306,0,0,0,0,135.436,0,0
16,NORMAL,124.074470669534,124.074470669534,102.584470669534,0,0,94.3777130159709,0,0,0,0,0,0,0,0,39375.9766857495,2481.48941339067,-36894.4872723589,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,124.074470669534,124.074470669534,0,0,0,0.89375,0,0,0,102.584470669534,0,0,0,0,121.912,0,2.16247066953362
17,NORMAL,115.865415331254,115.865415331254,169.375415331254,0,0,155.825382104753,0,0,0,0,0,0,0,0,102011.736904947,4567.30830662507,-70049.6917562168,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,115.865415331254,115.865415331254,0,0,75,0.400328947368421,0,0,0,169.375415331254,0,0,0,0,112.504,0,3.36141533125378
18,NORMAL,111.446227758567,111.446227758567,134.656227758567,0,0,123.883729537881,0,0,0,0,0,0,0,0,82207.9123134864,3569.92455517133,-62310.7246004203,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,111.446227758567,111.446227758567,0,0,44.7,0.10625,0,0,0,134.656227758567,0,0,0,0,106.624,0,4.82222775856656
19,NORMAL,110.167470774166,110.167470774166,88.6774707741665,0,0,81.5832731122332,0,0,0,0,0,0,0,0,55981.6293295846,2203.34941548333,-53778.2799141012,1,1,PASS_STRICT,1,0,baseline_E_asset_only,1,0,0,1,CURRENT_OBSERVATION,NaN,NaN,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN,0,0.5,NaN,NaN,NaN,NaN,NONE,NOT_APPLICABLE_CURRENT_OBSERVATION,0,,0,0,NaN,0,0,0,NaN,NaN,0,NaN,NaN,0,1,MAIN_CONCLUSION_ELIGIBLE,110.167470774166,110.167470774166,0,0,0,0.10625,0,0,0,88.6774707741665,0,0,0,0,103.684,0,6.48347077416645
