strategyId,eventCode,hours,eAvailableMWh,eSourceUsedMWh,eCurtailmentMWh,ensMWh
baseline_E_asset_only,NORMAL,48,8450.79867685041,7796.32340258907,654.475274261335,0
baseline_H_asset_only,NORMAL,48,8450.79867685041,1090.27578947368,7360.52288737672,0
baseline_C_asset_only,NORMAL,48,8450.79867685041,2317.09990050527,6133.69877634514,0
model_online_prior_posterior_event_aware,NORMAL,48,8450.79867685041,7938.05666332985,512.742013520556,0
