scenarioId,scenarioLabel,shareElectricity,shareHydrogen,shareCompute,totalProductCapacityMW,powerCableMW,electrolyzerMW,computeFacilityMW,secKWhPerKg,h2RatedProductionKgPerH,testScenarioId,horizonH,status,auditPass,exitflag,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,curtailmentRate,renewableUtilization,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,netGHGKgCO2e,minimumGfmPowerHeadroomMW,minimumGfmEnergyHeadroomMWh
mix_E100,"Power only",1,0,0,420,420,0,0,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,8493.20107120687,0,0,2502.63198540798,0.203843232532216,0.796156767467784,0,3076740.77170878,205199.208016591,-2871541.56369219,-4312570.96401446,-2.8421709430404e-14,0
mix_H100,"Hydrogen only",0,1,0,420,0,420,0,56.77,7398.27373612824,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,0,159796.197443972,0,2502.63198121843,0.203843232190971,0.796156767809029,0,4661420.15951104,1777406.64129013,-2884013.51822091,-1663932.40237915,0,0
mix_C100,"Compute only",0,0,1,420,0,0,420,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,0,0,8579.68428883836,2502.63153437135,0.203843195794587,0.796156804205413,0,4419442.14441918,205199.342286727,-4214242.80213245,-4355812.52205968,0,0
mix_E80_H20,"Power + hydrogen, power-led",0.8,0.2,0,420,336,84,0,56.77,1479.65474722565,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,6664.43427120687,34664.6485819975,0,2502.63196074045,0.203843230523007,0.796156769476993,0,3425248.12589423,480273.198097289,-2944974.92779694,-3744834.04705776,0,0
mix_E60_H40,"Power + hydrogen",0.6,0.4,0,420,252,168,0,56.77,2959.30949445129,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,4916.72843065246,67539.9946493349,0,2502.63194708176,0.203843229410486,0.796156770589514,0,3751139.01369154,765503.265569561,-2985635.74812198,-3199734.58591645,0,0
mix_E40_H60,"Power + hydrogen, H2-led",0.4,0.6,0,420,168,252,0,56.77,4438.96424167694,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,3216.56843065246,99441.3509995199,0,2502.63193929645,0.20384322877636,0.79615677122364,0,4065905.95978278,1057093.89674046,-3008812.06304233,-2668668.14854195,0,0
mix_E20_H80,"Power + hydrogen, high-H2",0.2,0.8,0,420,84,336,0,56.77,5918.61898890259,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,1545.6,130794.964398349,0,2502.63195897957,0.203843230379581,0.796156769620419,0,4375268.39033717,1425051.53077113,-2950216.85956604,-2146720.06941963,0,0
mix_E80_C20,"Power + compute, power-led",0.8,0,0.2,420,336,0,84,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,6664.43427120687,0,1847.38847583643,2502.63188829021,0.203843224621823,0.796156775378177,0,3365852.930027,205199.236927806,-3160653.69309919,-4321881.7910007,0,0
mix_E60_C40,"Power + compute, moderate compute",0.6,0,0.4,420,252,0,168,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,4916.72843065246,0,3612.89057757638,2502.63179547722,0.203843217062063,0.796156782937937,0,3642150.05422459,205199.264557519,-3436950.78966708,-4330779.91114606,0,0
mix_E40_C60,"Power + compute, compute-led",0.4,0,0.6,420,168,0,252,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,3216.56843065246,0,5330.36269653549,2502.63170518919,0.203843209707963,0.796156790292037,0,3910930.59370415,205199.291435571,-3705731.30226857,-4339435.96046242,0,0
mix_E20_C80,"Power + compute, high-compute",0.2,0,0.8,420,84,0,336,56.77,0,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,1534.28025980373,0,7028.66609093058,2502.6316161494,0.203843202455535,0.796156797544465,0,4176328.29561718,205532.450513569,-3970795.84510362,-4347326.51979051,0,0
mix_H80_C20,"Hydrogen + compute, H2-led",0,0.8,0.2,420,0,336,84,56.77,5918.61898890259,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,0,126661.075790938,1783.8942950485,2502.63186969091,0.203843223106882,0.796156776893118,0,4613655.25695524,1397632.90842497,-3216022.34853027,-2224528.32081907,0,0
mix_H60_C40,"Hydrogen + compute, moderate compute",0,0.6,0.4,420,0,252,168,56.77,4438.96424167694,V5_PRODUCT_MIX_BASELINE_SNAPSHOT_24H,24,PASS,1,1,12277.2385147123,0,94483.5172212706,3516.23630248344,2502.63175983319,0.203843214158801,0.796156785841199,0,4567270.69963695,1024210.35877894,-3543060.34085801,-2768923.72647383,0,0
