scenarioId,scenarioLabel,shareElectricity,shareHydrogen,shareCompute,totalProductCapacityMW,powerCableMW,electrolyzerMW,computeFacilityMW,secKWhPerKg,h2RatedProductionKgPerH,status,auditPass,exitflag,eAvailableMWh,eCableReceivedMWh,h2DeliveredKg,eComputeServiceMWhCS,eCurtailmentMWh,curtailmentRate,renewableUtilization,ensMWh,outputRevenueCNY,operatingCostCNY,economicNetCostCNY,netGHGKgCO2e,minimumGfmPowerHeadroomMW,minimumGfmEnergyHeadroomMWh
mix_E100,Power only,1,0,0,420,420,0,0,56.77,0,PASS,1,1,12277.2385147123,8493.20107120687,0,0,2502.63198540798,0.203843232532216,0.796156767467784,0,3076740.77170878,205199.208016591,-2871541.56369219,-4312570.96401446,-2.8421709430404e-14,0
mix_H100,Hydrogen only,0,1,0,420,0,420,0,56.77,7398.27373612824,PASS,1,1,12277.2385147123,0,159796.197443972,0,2502.63198121843,0.203843232190971,0.796156767809029,0,4661420.15951104,1777406.64129013,-2884013.51822091,-1663932.40237915,0,0
mix_C100,Compute only,0,0,1,420,0,0,420,56.77,0,PASS,1,1,12277.2385147123,0,0,8579.68428883836,2502.63153437135,0.203843195794587,0.796156804205413,0,4419442.14441918,205199.342286727,-4214242.80213245,-4355812.52205968,0,0
mix_E40_H30_C30,Triplex balanced,0.4,0.3,0.3,420,168,126,126,56.77,2219.48212083847,PASS,1,1,12277.2385147123,3216.56843065246,49250.7422934649,2702.1099084314,2502.6318114644,0.203843218364243,0.796156781635757,0,3993555.25109477,604197.040316138,-3389358.21077863,-3517817.0013078,0,0
